lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDM-P,GDM-Q,GDM-R,GDM-S,G4M-P,G4M-Q,G4M-R,G4M-S,Blank1
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0.0902145984481624,4.420274795654471,0.069561786322783,0.7919758900298248,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.7898485374211e-06,2.1804232307017684e-05,1.4070022385762583e-05,1.5908811574639934e-05,5.49653406059184e-06,2.1777080436856613e-05,2.0744036328306465e-05,1.703890711085993e-05,9.155872392022528e-06
"[TG(38:1)]_FA16:1 | DG(40:8),DG(39:1)_C16:1",0.0902145984481624,4.420274795654471,0.069561786322783,0.7919758900298248,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,DAG,1.0269749980840453e-05,3.591327532595154e-05,2.4546400677795313e-05,2.6522699629973077e-05,1.0252860103427753e-05,3.589754708641884e-05,2.238351640224845e-05,2.71851823252236e-05,1.713557653348088e-05
"[TG(38:1)]_FA18:0 | DG(40:8),DG(39:1)_C18:0",0.1809957321166323,4.295234693491954,0.2797716411490611,0.5968509302569968,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.0305632749019e-06,1.5026675352513637e-05,1.2046075259113199e-05,1.1842110264925733e-05,5.095506951669441e-06,1.6893044130232687e-05,1.1553134438477507e-05,1.235502731004603e-05,7.791465243942308e-06
"[TG(38:1)]_FA18:0 | DG(40:8),DG(39:1)_C18:0",0.1809957321166323,4.295234693491954,0.2797716411490611,0.5968509302569968,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,DAG,1.1657622289335847e-05,3.1545848733156574e-05,2.471158241974393e-05,2.245290411806393e-05,9.583831946406528e-06,3.028164372338696e-05,2.1615791100122333e-05,2.3450184480407354e-05,1.384464231136106e-05
"[TG(38:1)]_FA18:1 | DG(40:8),DG(39:1)_C18:1",0.0926585857940427,4.605864088474193,0.0734197400490757,0.7864212032284712,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.869271447967218e-06,1.613931924693719e-05,1.3415864764162731e-05,1.3536390585161908e-05,5.780945431322276e-06,1.7707679941800416e-05,1.2610460652885994e-05,1.5254634141799471e-05,9.907529536889386e-06
"[TG(38:1)]_FA18:1 | DG(40:8),DG(39:1)_C18:1",0.0926585857940427,4.605864088474193,0.0734197400490757,0.7864212032284712,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,DAG,1.2894716817978873e-05,4.6489075311529624e-05,2.3853763340889674e-05,2.8089873271179454e-05,1.124168446699299e-05,4.198293066850874e-05,2.853077258905599e-05,2.843983515687513e-05,1.8255435421213696e-05
[TG(39:0)]_FA14:0,-0.018166100482705,3.3758151300384096,0.0028080452356675,0.9577390849543962,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.016865768277111e-06,1.5956869625458003e-05,1.1172770071689369e-05,1.1424609935950307e-05,4.917762668263184e-06,1.6485382974808894e-05,1.2607735111002308e-05,1.241529449553717e-05,1.0198812910316474e-05
[TG(39:0)]_FA16:0,-0.1631559079611045,3.669093699010359,0.2267928762522365,0.6339121269239127,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.406634776739836e-06,1.916200191996687e-05,1.222251938950699e-05,1.3784415538831608e-05,7.512234165736897e-06,2.5740015309006244e-05,1.2509838543781699e-05,1.5569797366203602e-05,1.0403766097877499e-05
[TG(39:0)]_FA18:0,-0.0233304926363101,3.3626843684883743,0.0046321701315785,0.9457378336673776,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.033618839296494e-06,1.609385636537358e-05,1.1804403005904385e-05,1.1281555362712841e-05,4.90176253473911e-06,1.728902850935588e-05,1.134007917774723e-05,1.4202176491830012e-05,8.511965770561932e-06
[TG(39:1)]_FA14:0,-0.0161420518053192,3.3525743411805,0.0022170791653906,0.9624447888541252,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.016655032768227e-06,1.502129146862008e-05,1.180627998113974e-05,1.1343918559852541e-05,5.656021994318935e-06,1.638097750479846e-05,1.0804715462376302e-05,1.2410598395805204e-05,9.299485735928605e-06
[TG(39:1)]_FA16:0,-0.3353724393383689,3.58131323746978,0.9563000690127286,0.3281208365219113,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.971897329656584e-06,1.422090570897512e-05,1.3012295486855358e-05,1.2310548660319721e-05,6.163203375930591e-06,1.9570832764297185e-05,2.323414744465022e-05,1.2356853579346594e-05,8.206402223693833e-06
[TG(39:1)]_FA16:1,0.0795350155681787,3.5076330849368698,0.0538765633193349,0.8164500497082686,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.441698887604952e-06,1.842382838945227e-05,1.4906724833115984e-05,1.2942987989474242e-05,5.358277149641165e-06,1.980265354873973e-05,1.2918459492760271e-05,1.3551239076220678e-05,8.510018458707876e-06
[TG(39:1)]_FA18:0,-0.0395811062415603,3.363113140166525,0.013333518188432,0.9080719208382484,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.018867735514663e-06,1.4200866153091714e-05,1.1161976826359341e-05,1.3730383134017626e-05,5.508431559660793e-06,1.632259303374453e-05,1.3023851213514853e-05,1.2354505803172194e-05,7.798118603291585e-06
[TG(39:1)]_FA18:1,0.1702566541483372,3.661741328698197,0.2469460758259423,0.6192336958687434,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.685536831951195e-06,2.3470207330239007e-05,1.557613370083494e-05,1.2979882153404658e-05,6.550691975039759e-06,1.9237010632942496e-05,1.2969111110078627e-05,1.4753973261189962e-05,1.0176743582313653e-05
[TG(40:0)]_FA14:0,0.1333366260968426,4.561994075549769,0.1518489111568612,0.696774697369429,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,8.154540482554061e-06,3.273147268154598e-05,2.9170085245209387e-05,1.9177644196347974e-05,5.806073680998057e-06,3.0050165992067373e-05,3.2353500697447215e-05,1.8414876573804503e-05,4.812325948052682e-05
[TG(40:0)]_FA16:0,-0.2033354355206703,3.97782238658476,0.352608069235174,0.5526404654082958,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.708190356541419e-06,2.976801119103911e-05,1.2865649664123153e-05,1.6091854695603387e-05,9.190189454302554e-06,2.9843759633684394e-05,1.998766747957777e-05,1.6786359146693974e-05,1.3273272414221008e-05
[TG(40:0)]_FA18:0,0.1395041268031129,3.397970964671339,0.1655982149262298,0.6840538150783056,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.457398301176761e-06,1.5228566320554727e-05,1.269295930518906e-05,1.4381864741175381e-05,4.887300923370298e-06,1.730654373931244e-05,1.1755968353943862e-05,1.2361288975403748e-05,8.28948686916882e-06
[TG(40:1)]_FA14:0,-0.0254775977842305,3.3959723127251094,0.0055229696891005,0.9407584009276508,0.9999965277055112,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.0178140780670885e-06,1.4285211670730749e-05,1.1177697349851851e-05,1.2357440120082181e-05,4.898583021402197e-06,1.6969974431736502e-05,1.135802316606114e-05,1.3358436392575164e-05,1.1627318544838394e-05
