lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4M-P_x,G4M-Q_x,G4M-R_x,G4M-S_x,G4M-P_y,G4M-Q_y,G4M-R_y,G4M-S_y,Blank1
"[TG(38:1)]_FA18:1 | DG(40:8),DG(39:1)_C18:1",0,4.591016797276018,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.780945431322276e-06,1.7707679941800416e-05,1.2610460652885994e-05,1.5254634141799471e-05,5.780945431322276e-06,1.7707679941800416e-05,1.2610460652885994e-05,1.5254634141799471e-05,9.907529536889386e-06
[TG(39:0)]_FA14:0,0,3.4108523561551984,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,4.917762668263184e-06,1.6485382974808894e-05,1.2607735111002308e-05,1.241529449553717e-05,4.917762668263184e-06,1.6485382974808894e-05,1.2607735111002308e-05,1.241529449553717e-05,1.0198812910316474e-05
[TG(39:0)]_FA16:0,0,3.7667134895957313,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,7.512234165736897e-06,2.5740015309006244e-05,1.2509838543781699e-05,1.5569797366203602e-05,7.512234165736897e-06,2.5740015309006244e-05,1.2509838543781699e-05,1.5569797366203602e-05,1.0403766097877499e-05
[TG(39:0)]_FA18:0,0,3.400182399580159,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,4.90176253473911e-06,1.728902850935588e-05,1.134007917774723e-05,1.4202176491830012e-05,4.90176253473911e-06,1.728902850935588e-05,1.134007917774723e-05,1.4202176491830012e-05,8.511965770561932e-06
[TG(39:1)]_FA14:0,0,3.386823618486643,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.656021994318935e-06,1.638097750479846e-05,1.0804715462376302e-05,1.2410598395805204e-05,5.656021994318935e-06,1.638097750479846e-05,1.0804715462376302e-05,1.2410598395805204e-05,9.299485735928605e-06
[TG(39:1)]_FA16:0,0,3.7519837838840178,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.163203375930591e-06,1.9570832764297185e-05,2.323414744465022e-05,1.2356853579346594e-05,6.163203375930591e-06,1.9570832764297185e-05,2.323414744465022e-05,1.2356853579346594e-05,8.206402223693833e-06
[TG(39:1)]_FA16:1,0,3.49884542587152,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.358277149641165e-06,1.980265354873973e-05,1.2918459492760271e-05,1.3551239076220678e-05,5.358277149641165e-06,1.980265354873973e-05,1.2918459492760271e-05,1.3551239076220678e-05,8.510018458707876e-06
[TG(39:1)]_FA18:0,0,3.407909250807779,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.508431559660793e-06,1.632259303374453e-05,1.3023851213514853e-05,1.2354505803172194e-05,5.508431559660793e-06,1.632259303374453e-05,1.3023851213514853e-05,1.2354505803172194e-05,7.798118603291585e-06
[TG(39:1)]_FA18:1,0,3.6114954993833503,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.550691975039759e-06,1.9237010632942496e-05,1.2969111110078627e-05,1.4753973261189962e-05,6.550691975039759e-06,1.9237010632942496e-05,1.2969111110078627e-05,1.4753973261189962e-05,1.0176743582313653e-05
[TG(40:0)]_FA14:0,0,4.540645214163456,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.806073680998057e-06,3.0050165992067373e-05,3.2353500697447215e-05,1.8414876573804503e-05,5.806073680998057e-06,3.0050165992067373e-05,3.2353500697447215e-05,1.8414876573804503e-05,4.812325948052682e-05
[TG(40:0)]_FA16:0,0,4.091915446812359,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,9.190189454302554e-06,2.9843759633684394e-05,1.998766747957777e-05,1.6786359146693974e-05,9.190189454302554e-06,2.9843759633684394e-05,1.998766747957777e-05,1.6786359146693974e-05,1.3273272414221008e-05
[TG(40:0)]_FA18:0,0,3.3618492060155707,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,4.887300923370298e-06,1.730654373931244e-05,1.1755968353943862e-05,1.2361288975403748e-05,4.887300923370298e-06,1.730654373931244e-05,1.1755968353943862e-05,1.2361288975403748e-05,8.28948686916882e-06
[TG(40:1)]_FA14:0,0,3.4339269828841883,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,4.898583021402197e-06,1.6969974431736502e-05,1.135802316606114e-05,1.3358436392575164e-05,4.898583021402197e-06,1.6969974431736502e-05,1.135802316606114e-05,1.3358436392575164e-05,1.1627318544838394e-05
[TG(40:1)]_FA16:0,0,3.746271074319491,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,6.540845754073116e-06,1.771626563718328e-05,1.6777529690349646e-05,1.8855792422704093e-05,6.540845754073116e-06,1.771626563718328e-05,1.6777529690349646e-05,1.8855792422704093e-05,9.522938092064178e-06
[TG(40:1)]_FA16:1,0,3.52734366524598,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.6526372690525045e-06,1.9439639214610904e-05,1.2360836289995482e-05,1.4943906114404065e-05,5.6526372690525045e-06,1.9439639214610904e-05,1.2360836289995482e-05,1.4943906114404065e-05,8.572007447582807e-06
[TG(40:1)]_FA18:0,0,3.452504316783066,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.46217495186122e-06,1.6334956898875902e-05,1.1690098506810705e-05,1.5878699223822657e-05,5.46217495186122e-06,1.6334956898875902e-05,1.1690098506810705e-05,1.5878699223822657e-05,7.794223979583473e-06
[TG(40:1)]_FA18:1,0,3.681066766337923,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.78022750257096e-06,1.884102618831365e-05,1.6966054164341964e-05,1.5475352919210396e-05,5.78022750257096e-06,1.884102618831365e-05,1.6966054164341964e-05,1.5475352919210396e-05,1.0638253303723315e-05
[TG(40:2)]_FA14:0,0,3.379955688771412,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,4.895916440075951e-06,1.6373421754852356e-05,1.2526419674507594e-05,1.2411381103974915e-05,4.895916440075951e-06,1.6373421754852356e-05,1.2526419674507594e-05,1.2411381103974915e-05,8.89996481768504e-06
[TG(40:2)]_FA16:0,0,3.3690301681234938,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,TAG,5.111917196050557e-06,1.8737994699447783e-05,1.0757471032351062e-05,1.2361549878126986e-05,5.111917196050557e-06,1.8737994699447783e-05,1.0757471032351062e-05,1.2361549878126986e-05,8.010374140664506e-06
