lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G4M-P,G4M-Q,G4M-R,G4M-S,G4F-J,G4F-L,G4F-M,G4F-N,Blank1
DG(42:3)_C18:2,0.0723367431758293,4.662119837451836,0.0707136739088487,0.7903004922573589,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.1111119892941889e-05,4.2088022572293373e-05,2.508304875235962e-05,2.949281441324264e-05,2.6094106046295312e-05,2.947171994871492e-05,2.567641976395699e-05,3.5602568588178936e-05,1.729346998892503e-05
DG(42:4)_C18:0,0.009903391663509,4.408738077986905,0.0013239921055561,0.9709740171721606,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.0974298800368598e-05,3.0398756242663034e-05,2.054733509869383e-05,2.2843077528011478e-05,2.285968713027172e-05,2.636830871667133e-05,2.280053846706314e-05,2.762471285790505e-05,1.4367005257384593e-05
DG(42:4)_C18:1,0.0379035856544448,4.587988959446633,0.0194107334074793,0.8891953834359577,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.0726195288756832e-05,3.9332273494771334e-05,2.343221135855852e-05,2.7383985721741473e-05,2.510849721635499e-05,3.050601257346981e-05,2.4944821502831798e-05,3.1456142913793984e-05,1.6212881647795812e-05
DG(42:4)_C18:2,0.040539781136786,4.631369343072802,0.0222082767108044,0.8815343665166889,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.189953326888544e-05,3.753300001981625e-05,2.4407995210156383e-05,2.7685321599435047e-05,2.658654446980612e-05,2.8935598578237113e-05,2.5089308387442803e-05,3.46318410601016e-05,1.7291685048492512e-05
DG(42:5)_C16:0,0.0356112162525622,4.397095063361701,0.0171182713588686,0.8959044015705444,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.0243731909025543e-05,3.378402764902963e-05,1.9938151750208426e-05,2.305492586164284e-05,2.1538868075474895e-05,2.5017046758327548e-05,2.207222964291211e-05,3.0132774467747554e-05,1.4061765989087497e-05
DG(42:5)_C18:0,-0.4003629247392699,5.475731090614092,2.1655602343138014,0.1411331785634146,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.8227250001551836e-05,6.088405823113253e-05,3.8549364475129595e-05,4.710699889164657e-05,5.2379376982610745e-05,5.2030519174800795e-05,7.600422328489359e-05,6.720993536057629e-05,1.778061935252314e-05
DG(42:5)_C18:1,-0.0344252537780493,4.551194360135995,0.0160086044861174,0.8993162706508105,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,9.765268479534125e-06,3.844139453603621e-05,2.2640863624804364e-05,2.552248738780046e-05,2.4765718914907684e-05,2.7352088898520186e-05,2.512807352859398e-05,3.4886669287862244e-05,1.6302781931187203e-05
DG(42:5)_C18:2,-0.2616740753512407,5.096269136529244,0.9255337106809236,0.3360261831600045,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.2590099953575364e-05,4.003426158710267e-05,3.7213340382435173e-05,3.300474585375988e-05,3.89575630476486e-05,4.169614734781091e-05,3.72530102713638e-05,5.409497767967742e-05,2.8813362505588468e-05
DG(42:6)_C16:1,-0.0489971649100377,4.5473213122067335,0.0324274481807762,0.8570927241967391,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.0184244531056517e-05,3.378437089866957e-05,2.2125260867905693e-05,2.7417902428855047e-05,2.3338453366438333e-05,2.8259433400188793e-05,2.5223928574325314e-05,3.541595205654087e-05,1.6691430247336178e-05
DG(42:6)_C18:0,0.0966502749176323,4.510492309424026,0.1261395807631302,0.7224687218448892,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.1472762333186585e-05,4.0133858810916523e-05,2.2064160892361328e-05,2.2378159723340316e-05,2.3102854379783952e-05,2.781631784079163e-05,2.2547274987310547e-05,3.0445196068080192e-05,1.5818229272274895e-05
DG(42:6)_C18:1,-0.1586087291185567,4.656129721696188,0.3398318175629597,0.5599263160894351,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.0863939443760457e-05,3.485555509393129e-05,2.4865678079195556e-05,2.669600101515024e-05,2.6965455923609728e-05,3.342955877110157e-05,2.6814461533359034e-05,3.9776021852180696e-05,1.6520230166047897e-05
DG(42:6)_C18:2,-0.0062802757674577,4.648204908637594,0.0005330309277418177,0.9815805064448732,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.1417069830466277e-05,3.738017001730194e-05,2.488884605166859e-05,2.7838729066637943e-05,2.6104360279936987e-05,3.08988831589723e-05,2.6012146807659776e-05,3.542721353175806e-05,1.765323324630036e-05
"DG(42:7),DG(41:0)_C16:0",0.3667810312566046,4.852248879027514,1.8147996222120355,0.1779335409788151,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.9917615447320374e-05,4.754319719524753e-05,2.5890296231368755e-05,3.4300620569251436e-05,3.1954293399109125e-05,2.9454615338572254e-05,2.696458711350003e-05,3.136733925647266e-05,1.7335336806893836e-05
"DG(42:7),DG(41:0)_C16:1",0.0807093748153006,4.549036573113278,0.0879784820099196,0.7667630012519648,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.1273582069388508e-05,3.481915065287358e-05,2.335998176928648e-05,2.6974377851295713e-05,2.5868273087358584e-05,2.5950048302649167e-05,2.280006871393605e-05,3.1927832064422883e-05,1.717371113011459e-05
"DG(42:7),DG(41:0)_C18:0",0.0214307167772477,4.444955418159752,0.0062011901468386,0.9372333551918496,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,9.657575939003719e-06,3.5488168569199245e-05,2.14876853894958e-05,2.4375063485391324e-05,2.3532303715007894e-05,2.4827292965860692e-05,2.2714316205932077e-05,3.160157515481796e-05,1.441163078004309e-05
"DG(42:7),DG(41:0)_C18:1",0.0256448230124307,4.511424847138753,0.0088817221809467,0.92491621563999,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.0089372258586037e-05,3.624854087056188e-05,2.2576583778190558e-05,2.4861113962785814e-05,2.384627279116094e-05,2.629133779261473e-05,2.395173690889918e-05,3.155202492161394e-05,1.6936465281482025e-05
"DG(42:7),DG(41:0)_C18:2",0.0167817922967155,4.757142594199805,0.0038077473008231,0.950796207655492,0.9999472065904288,4,4,SampleType_Glia|SleepCondition_Goingtosleep|Sex_male,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,DAG,1.2513792083429811e-05,3.9991331734569567e-05,2.8648202668555922e-05,2.8668380767172672e-05,2.835317027288673e-05,3.3325060356434244e-05,2.6989255493420757e-05,3.816564973653835e-05,1.9048797167385174e-05
