lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N2M-P_x,N2M-Q_x,N2M-R_x,N2M-S_x,N2M-P_y,N2M-Q_y,N2M-R_y,N2M-S_y,Blank1
[TG(47:5)]_FA18:2,0,3.840717594121914,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.1407274367562046e-05,1.1534542689950266e-05,1.5403262579074682e-05,1.3957731357908486e-05,2.1407274367562046e-05,1.1534542689950266e-05,1.5403262579074682e-05,1.3957731357908486e-05,8.861992623424347e-06
[TG(47:5)]_FA18:3,0,3.918675648464393,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.193381920100708e-05,1.249491513783491e-05,1.6040690206121022e-05,1.4897909330182826e-05,2.193381920100708e-05,1.249491513783491e-05,1.6040690206121022e-05,1.4897909330182826e-05,9.49794784270748e-06
[TG(47:5)]_FA20:4,0,4.020579423742611,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.363365515216787e-05,1.3331596615411158e-05,1.7232594585785247e-05,1.6046615539110698e-05,2.363365515216787e-05,1.3331596615411158e-05,1.7232594585785247e-05,1.6046615539110698e-05,1.014493769504055e-05
[TG(47:5)]_FA22:5,0,4.174957354891677,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.5805983026420875e-05,1.4664327480476392e-05,1.8898504795692467e-05,1.872632906945583e-05,2.5805983026420875e-05,1.4664327480476392e-05,1.8898504795692467e-05,1.872632906945583e-05,1.123201699314603e-05
[TG(47:6)]_FA14:0,0,3.78345636874712,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.8009870332803534e-05,1.1098945256311514e-05,1.4291277781872465e-05,1.2544889847396022e-05,1.8009870332803534e-05,1.1098945256311514e-05,1.4291277781872465e-05,1.2544889847396022e-05,1.2419869021980125e-05
[TG(47:6)]_FA16:0,0,3.7854824078130216,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.2772586299028046e-05,1.1030990386323488e-05,1.3530939094939449e-05,1.3183345820215128e-05,2.2772586299028046e-05,1.1030990386323488e-05,1.3530939094939449e-05,1.3183345820215128e-05,8.607058751441094e-06
[TG(47:6)]_FA16:1,0,3.784076358174276,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.954679133269765e-05,1.1610000639626492e-05,1.4198130036337135e-05,1.408465019911781e-05,1.954679133269765e-05,1.1610000639626492e-05,1.4198130036337135e-05,1.408465019911781e-05,8.506448361182548e-06
[TG(47:6)]_FA18:0,0,3.688025422119072,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.7994750687008738e-05,1.1060787636281655e-05,1.3269960410206607e-05,1.299953228202638e-05,1.7994750687008738e-05,1.1060787636281655e-05,1.3269960410206607e-05,1.299953228202638e-05,8.14295263486034e-06
[TG(47:6)]_FA18:1,0,3.827321351500919,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.0468338985306162e-05,1.1146964025901119e-05,1.4268404035041519e-05,1.5335045802410446e-05,2.0468338985306162e-05,1.1146964025901119e-05,1.4268404035041519e-05,1.5335045802410446e-05,9.113194088363671e-06
[TG(47:6)]_FA18:2,0,3.9271918076340633,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.1759942553401905e-05,1.4135479488491146e-05,1.5515701071616226e-05,1.4447643312498421e-05,2.1759942553401905e-05,1.4135479488491146e-05,1.5515701071616226e-05,1.4447643312498421e-05,8.85858486636909e-06
[TG(47:6)]_FA18:3,0,3.922729716794304,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.19171874031819e-05,1.247819431591632e-05,1.603738332304358e-05,1.4896879538804343e-05,2.19171874031819e-05,1.247819431591632e-05,1.603738332304358e-05,1.4896879538804343e-05,9.783551559139527e-06
[TG(47:6)]_FA20:4,0,4.0375713005595975,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.4903712896966945e-05,1.3332239736527288e-05,1.7225429374590223e-05,1.6043268815336925e-05,2.4903712896966945e-05,1.3332239736527288e-05,1.7225429374590223e-05,1.6043268815336925e-05,1.0145749056924716e-05
[TG(47:6)]_FA22:5,0,4.182531682299233,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.632950362790164e-05,1.5203250627738334e-05,1.9349361708502557e-05,1.7726939173187848e-05,2.632950362790164e-05,1.5203250627738334e-05,1.9349361708502557e-05,1.7726939173187848e-05,1.1231530126493174e-05
[TG(47:6)]_FA22:6,0,4.28846997884593,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.83502560328963e-05,1.6086664673559527e-05,2.0575163006364932e-05,1.921109201805017e-05,2.83502560328963e-05,1.6086664673559527e-05,2.0575163006364932e-05,1.921109201805017e-05,1.2628879080864917e-05
[TG(48:2)]_FA14:0,0,3.992515046168809,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.8434734874176272e-05,1.019173646517032e-05,1.8659848149932284e-05,1.6053051342401007e-05,1.8434734874176272e-05,1.019173646517032e-05,1.8659848149932284e-05,1.6053051342401007e-05,1.5936040850182752e-05
[TG(48:2)]_FA16:0,0,4.5485422767014825,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,3.764964848928056e-05,1.8033347888152176e-05,2.6079969506067494e-05,2.1164304327738532e-05,3.764964848928056e-05,1.8033347888152176e-05,2.6079969506067494e-05,2.1164304327738532e-05,1.4449116045747984e-05
[TG(48:2)]_FA16:1,0,4.774433627581476,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,2.957608834151351e-05,3.410736443131924e-05,2.4382642803088354e-05,2.603871069737092e-05,2.957608834151351e-05,3.410736443131924e-05,2.4382642803088354e-05,2.603871069737092e-05,1.5292621002520595e-05
[TG(48:2)]_FA18:0,0,3.6435212832910673,0.0,1.0,1,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,TAG,1.8735239366398514e-05,1.0192808374584809e-05,1.3112050120241422e-05,1.2210987505704055e-05,1.8735239366398514e-05,1.0192808374584809e-05,1.3112050120241422e-05,1.2210987505704055e-05,7.79406179387076e-06
