lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDF-J,NDF-L,NDF-M,NDF-N,N4F-J,N4F-L,N4F-M,N4F-N,Blank1
"[TG(62:12),TG(61:5)]_FA18:0",-0.0014941801155678,3.504815954657732,7.964839588218281e-05,0.9928792979650464,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.2415401662789652e-05,1.2467812776594447e-05,1.163300059231623e-05,1.3570343868723083e-05,9.53599783332542e-06,1.1401776314119825e-05,1.3868071061184296e-05,1.026027812860029e-05,8.131268918493363e-06
"[TG(62:12),TG(61:5)]_FA18:1",0.031569200345222,3.582425175322681,0.0356239612596593,0.8502941625473672,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.4058948516772158e-05,1.3065963188370658e-05,1.2185530598521193e-05,1.4204552827527984e-05,9.987447660851962e-06,1.1943214955055685e-05,1.4448169412166107e-05,1.0681228326833792e-05,8.507584342103913e-06
"[TG(62:12),TG(61:5)]_FA18:2",0.0090983954367311,3.679440192302665,0.0029656528435155,0.9565704230799064,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.4058204506408522e-05,1.4031267719929157e-05,1.3080323194020151e-05,1.558950741883564e-05,1.0807210454261841e-05,1.284212991550234e-05,1.5534786207957533e-05,1.1471654268229706e-05,9.200822502766752e-06
"[TG(62:12),TG(61:5)]_FA18:3",-0.0386934544488168,3.804301038421574,0.0537853603016422,0.8166027057509612,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.5562846006976836e-05,1.5062535787505678e-05,1.4006841384427216e-05,1.636695951817733e-05,1.151587069999792e-05,1.4794170050502672e-05,1.6719785097726875e-05,1.321791572274881e-05,9.836615412531286e-06
"[TG(62:12),TG(61:5)]_FA20:4",-0.0210853864574193,3.884192140410892,0.015997458027924,0.8993511421663979,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.609242237413258e-05,1.6139604749875867e-05,1.5033398149593874e-05,1.7542849348231045e-05,1.2331638270993507e-05,1.567150930425908e-05,1.7903130462754628e-05,1.3214456894494985e-05,1.0491069986097797e-05
"[TG(62:12),TG(61:5)]_FA22:5",-0.0009719219660217656,3.9692185097093393,3.404474044305106e-05,0.9953445398770612,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.7188285533572537e-05,1.7244054527658216e-05,1.602776687273397e-05,1.869365116201854e-05,1.318602581732007e-05,1.576984928844358e-05,1.915013532138611e-05,1.4098472563699207e-05,1.1228284740859458e-05
"[TG(62:12),TG(61:5)]_FA22:6",0.0126326744657419,4.096101948866245,0.0057643860465357,0.9394799175881428,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.8691935067633516e-05,1.872735775080256e-05,1.8044987483839614e-05,2.0305744781955245e-05,1.4338526160844256e-05,1.7142068860353166e-05,2.0750986432588966e-05,1.5316155861961355e-05,1.2336297571755226e-05
"[TG(62:13),TG(61:6)]_FA14:0",0.002124130009422,3.5060201763612184,0.0001609691691126791,0.9898772208606196,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.2481133554360455e-05,1.2559912651250939e-05,1.1603822652593628e-05,1.3532847011058919e-05,9.545319837527634e-06,1.142744019946474e-05,1.3835552477147434e-05,1.0224063093524768e-05,8.154149639331823e-06
"[TG(62:13),TG(61:6)]_FA16:0",0.0009631394934711926,3.504706594431408,3.309343071974946e-05,0.9954100435808084,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.2454592642882878e-05,1.2520085596303495e-05,1.163948452493719e-05,1.3483210925126712e-05,9.560729618263347e-06,1.1407227117916343e-05,1.3801380368368982e-05,1.022345255684373e-05,8.157395117819952e-06
"[TG(62:13),TG(61:6)]_FA16:1",-0.0006964648254910528,3.575126337520546,1.733551411700618e-05,0.9966779423125168,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.3037994843357407e-05,1.3110768577709163e-05,1.2252917800760189e-05,1.4224784874641394e-05,1.0017125766491248e-05,1.2016345464428645e-05,1.4546000804296562e-05,1.074938611485013e-05,8.50742203258531e-06
"[TG(62:13),TG(61:6)]_FA18:0",-0.0014152032029671,3.504911685298409,7.145129892585644e-05,0.9932556522702471,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.2419618383868767e-05,1.2466568347298127e-05,1.1637400332752057e-05,1.3568185728814572e-05,9.53599783332542e-06,1.1394508691240333e-05,1.3877992104507967e-05,1.026190581248444e-05,8.130457463754782e-06
"[TG(62:13),TG(61:6)]_FA18:1",0.0061581347820363,3.571174399437512,0.0013551572199914,0.9706345390452644,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.2987889676897804e-05,1.3073928656332987e-05,1.231428440087226e-05,1.4208059599067765e-05,9.985925671360803e-06,1.1953435033485554e-05,1.4449547244324903e-05,1.0676752196152373e-05,8.50644839213402e-06
"[TG(62:13),TG(61:6)]_FA18:2",-0.00017162538092098647,3.674882317492919,1.0551244094825218e-06,0.9991804191161714,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.404977082769606e-05,1.40282808712221e-05,1.3080091793785809e-05,1.5187023484512483e-05,1.0783239736641946e-05,1.284258397948812e-05,1.5539195344453776e-05,1.1476740625143205e-05,9.202445288438025e-06
"[TG(62:13),TG(61:6)]_FA18:3",-0.0200335523325732,3.795434512873421,0.0144153355748422,0.9044325439744672,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.5041207169691924e-05,1.5067016321691792e-05,1.4472531948842512e-05,1.636210390919473e-05,1.1513587897192311e-05,1.3700845918118887e-05,1.76537295961542e-05,1.2830739344213553e-05,9.837913548213888e-06
"[TG(62:13),TG(61:6)]_FA20:4",-0.0332605370131939,3.889564263442424,0.0398100570817978,0.8418524196676237,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.6082500438138618e-05,1.61403512840125e-05,1.5034787611050629e-05,1.7551751366636324e-05,1.3516860699139295e-05,1.4767370572008805e-05,1.7904508400039288e-05,1.3212218984378755e-05,1.0484579029121537e-05
"[TG(62:13),TG(61:6)]_FA22:5",-0.00105007221223,3.9691354995686208,3.97397256856058e-05,0.9949702127284884,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.7191262142757234e-05,1.7259487473468457e-05,1.6006925392570443e-05,1.869149302211003e-05,1.3186025853606298e-05,1.577575432949968e-05,1.9145450544870005e-05,1.4094810507796582e-05,1.1227797874206607e-05
"[TG(62:13),TG(61:6)]_FA22:6",-0.0148220606528491,4.097709696879597,0.0079359621454542,0.92901513920389,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.8696895988319652e-05,1.8742541820249014e-05,1.7488520758511403e-05,2.0310870106973522e-05,1.4363447940464992e-05,1.7142749999650295e-05,2.0970073414807986e-05,1.58331371197988e-05,1.2271712002000371e-05
"[TG(62:14),TG(61:7),TG(60:0)]_FA14:0",-0.0250421849485021,3.517863706431532,0.0223803113660929,0.881079809023961,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.2488326884624266e-05,1.2546968801420178e-05,1.1600348866445402e-05,1.3532307424628904e-05,9.550836831715722e-06,1.1415857452574579e-05,1.3844095530623513e-05,1.0993532954167296e-05,8.153987422667638e-06
"[TG(62:14),TG(61:7),TG(60:0)]_FA16:0",-0.030294245639987,3.518086263355284,0.0327522666425098,0.8563865137765719,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.2458313498985442e-05,1.2517845424165173e-05,1.1629063917361763e-05,1.3470802083728765e-05,9.560158835917934e-06,1.1409043980317769e-05,1.3804687417852162e-05,1.1099940382114346e-05,8.15658378688726e-06
"[TG(62:14),TG(61:7),TG(60:0)]_FA16:1",-0.0241573785482496,3.5857021007738985,0.0208619950034282,0.8851555433861573,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.3036010484545122e-05,1.310205629074599e-05,1.2264264980986128e-05,1.4221008232707276e-05,1.0014272072481553e-05,1.2013847159500951e-05,1.4550961325958395e-05,1.1455988276518175e-05,8.516184889501356e-06
"[TG(62:14),TG(61:7),TG(60:0)]_FA18:0",0.0123440874907684,3.511722595700268,0.0054371697917701,0.9412195243139,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.2428051967959538e-05,1.2478018511649836e-05,1.1635084607826246e-05,1.4095029696909699e-05,9.53961244950824e-06,1.1400640764289324e-05,1.3869449051031887e-05,1.0278996105206845e-05,8.133865220810042e-06
"[TG(62:14),TG(61:7),TG(60:0)]_FA18:1",0.0290421995819611,3.581571932128251,0.0301484831876936,0.8621537497098524,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.2987393669988712e-05,1.4055661781588993e-05,1.218622532924957e-05,1.420940853941636e-05,9.986876987365233e-06,1.1952299440336605e-05,1.4448996279662772e-05,1.068143178731931e-05,8.509207096823712e-06
"[TG(62:14),TG(61:7),TG(60:0)]_FA18:2",0.0151395056262908,3.6846670023029,0.0082117620607969,0.9277955144299388,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.4053987596086022e-05,1.4024298042286199e-05,1.3074997013440149e-05,1.583849704805659e-05,1.0784000622528847e-05,1.284212978554699e-05,1.553340816554701e-05,1.1477554505891401e-05,9.378351231512696e-06
"[TG(62:14),TG(61:7),TG(60:0)]_FA18:3",0.022800289178237,3.7875452314177087,0.01866844091355,0.8913212836381642,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.504244728158634e-05,1.506427815943905e-05,1.4536908783764877e-05,1.6865478465955026e-05,1.150883178889112e-05,1.3846652699605227e-05,1.672860358097109e-05,1.2341021015313275e-05,9.835641803031466e-06
"[TG(62:14),TG(61:7),TG(60:0)]_FA20:4",-0.0022605770703134,3.883711624408796,0.00018387671542186013,0.989180925262234,0.9999734423019744,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,TAG,1.60874614061356e-05,1.6130643491594167e-05,1.5410859943269086e-05,1.755660712997758e-05,1.2512941350215293e-05,1.4765326504340691e-05,1.8261110527179972e-05,1.3203470377532032e-05,1.0486201752889866e-05
