lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDM-P,NDM-Q,NDM-R,NDM-S,N4M-P,N4M-Q,N4M-R,N4M-S,Blank1
"[TG(65:12),TG(64:5)]_FA18:2",0.0009043072328136164,4.138919067867831,2.4902905154222665e-05,0.9960183483062396,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.815443709749979e-05,1.579352964382982e-05,2.0905755663079335e-05,2.04069614934038e-05,2.3012727703268086e-05,1.3963377791513793e-05,2.4834510926871584e-05,1.7910444442217193e-05,9.20066013134521e-06
"[TG(65:12),TG(64:5)]_FA18:3",-0.0026858820097042,4.243164639834638,0.00022011666809784725,0.9881627561496974,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.9597296741808747e-05,1.6999379890513843e-05,2.235750799194389e-05,2.188916956863117e-05,2.47759429522904e-05,1.5038136911778947e-05,2.6787233381835843e-05,1.9277881266051123e-05,9.837426805366922e-06
"[TG(65:12),TG(64:5)]_FA20:4",-0.0335724881354347,4.355458401424462,0.0344594165363951,0.8527329831985192,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,2.095581843354831e-05,1.81227690898857e-05,2.3994550991102202e-05,2.3572503456475474e-05,2.657387692965497e-05,1.6048720046741947e-05,2.8673370791979902e-05,2.2516142790197773e-05,1.0485065741017031e-05
"[TG(65:12),TG(64:5)]_FA22:5",-0.0007458057562598731,4.471767939249417,1.7037180267354124e-05,0.9967066515174402,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,2.2914473689457048e-05,1.984541206859024e-05,2.63119858484444e-05,2.5724037321758974e-05,2.9066598722609877e-05,1.757870347154229e-05,3.125732130065718e-05,2.2622068767382818e-05,1.1575228300946455e-05
"[TG(65:12),TG(64:5)]_FA22:6",6.846986559186756e-05,4.598651199469552,1.4387031266327457e-07,0.9996973604762994,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,2.5134608466301043e-05,2.1717727436785747e-05,2.8690190462137684e-05,2.8018763941331677e-05,3.189328147410932e-05,1.9189094225540868e-05,3.4146231788748854e-05,2.4591459352443397e-05,1.2610704252764318e-05
[TG(66:0)]_FA16:0,0.000839540326213643,3.9684965520252207,2.138818803243403e-05,0.996310007273426,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.62143427759199e-05,1.4032762806269002e-05,1.8519721840094164e-05,1.810130423267676e-05,2.0545631747241553e-05,1.2419909818734584e-05,2.201706842639842e-05,1.5866489927183624e-05,8.15447425836902e-06
[TG(66:0)]_FA18:0,-0.0069434388681272,3.9693178894344654,0.0014630321847615,0.9694886717586078,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.6123166904737347e-05,1.3955384976046751e-05,1.8590930305136644e-05,1.8113692408477946e-05,2.0461314970697543e-05,1.2402929417957409e-05,2.2431228285721834e-05,1.5892731326244304e-05,8.12802340905376e-06
[TG(66:1)]_FA14:0,-0.0005894643080431211,3.967423662687282,1.0543735937645904e-05,0.9974091840703166,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.614433267763105e-05,1.3964704243287337e-05,1.8546937588375233e-05,1.81450270057814e-05,2.0529099038229575e-05,1.2383951373401564e-05,2.2029941523774657e-05,1.5894971380915873e-05,8.15350049411184e-06
[TG(66:1)]_FA16:0,0.0008099337134907816,3.968985193379084,1.9906459604090987e-05,0.9964401177418778,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.6222809122342594e-05,1.4035869174818912e-05,1.853202489342561e-05,1.8097296134015506e-05,2.0538192087311794e-05,1.2421158358003431e-05,2.2034824381905486e-05,1.587801053098417e-05,8.15934246062548e-06
[TG(66:1)]_FA16:1,0.0001800706935931672,4.082012782878514,9.86306853190122e-07,0.9992075971744576,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.7484293683476532e-05,1.5238330538291505e-05,2.0029633928144933e-05,1.9547441018355408e-05,2.2152612876392114e-05,1.3446724392851098e-05,2.3865030117331636e-05,1.71801634246269e-05,8.847550109513264e-06
[TG(66:1)]_FA18:0,-0.000782420232290075,3.967269840813266,1.8576447151388148e-05,0.9965610960571644,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.6130656095100415e-05,1.3970352166518593e-05,1.859055762109291e-05,1.8121343683546572e-05,2.0460901564283794e-05,1.2402679700577894e-05,2.209075614129087e-05,1.5898171633414047e-05,8.131593444676147e-06
[TG(66:1)]_FA18:1,0.0200509748579705,4.096050898768459,0.012232977104662,0.911931335146492,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.7601194354019515e-05,1.6164321653550393e-05,2.008070977501738e-05,1.95900707620925e-05,2.2370844793018608e-05,1.3482682885812836e-05,2.3890776820088988e-05,1.7229446275442962e-05,8.843980166745294e-06
"[TG(66:10),TG(65:3)]_FA14:0",0.0035157636921596,3.976697872213308,0.0003751606622879322,0.9845466886747912,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.6153775745352523e-05,1.4428123303590977e-05,1.855141150352413e-05,1.81614233497396e-05,2.1065172847304902e-05,1.2375710938021208e-05,2.2000644205654746e-05,1.5878970545695043e-05,8.156259105947116e-06
"[TG(66:10),TG(65:3)]_FA16:0",0.0009611885844601482,3.969145901564342,2.8035837170099772e-05,0.9957753104868712,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.6230624197015387e-05,1.4040670038838157e-05,1.8517485024738396e-05,1.8107133815298053e-05,2.055141825452138e-05,1.2421907653028134e-05,2.204059523254686e-05,1.586520952099148e-05,8.161451927240776e-06
"[TG(66:10),TG(65:3)]_FA16:1",0.0144874985456694,4.032513885601773,0.0063778468657033,0.9363474718669016,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.7468989170005904e-05,1.4672682268457382e-05,1.9270576795233063e-05,1.8805243638643237e-05,2.13003506428546e-05,1.2937811899552288e-05,2.2956364009975382e-05,1.6530527244026148e-05,8.511154315823353e-06
"[TG(66:10),TG(65:3)]_FA18:0",-0.0298351611486769,3.98025317960296,0.0270190234721101,0.8694362235002228,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.612609737917715e-05,1.3965833871024483e-05,1.8602860389987e-05,1.8124623049632284e-05,2.046875470946148e-05,1.2408173387669755e-05,2.2076551309151234e-05,1.7192004114715832e-05,8.128834739986455e-06
"[TG(66:10),TG(65:3)]_FA18:1",-0.0217216431072514,4.039238517840246,0.014339653768069,0.9046825429886352,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.6925515378556826e-05,1.4638229430428738e-05,1.9315315093409945e-05,1.885989740038103e-05,2.1524782394340483e-05,1.2972521900873901e-05,2.423790729966701e-05,1.65730894425189e-05,8.511316625341951e-06
"[TG(66:10),TG(65:3)]_FA18:2",0.0011692669649589,4.138994431768579,4.1633791396211706e-05,0.9948517452498986,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.81629033197051e-05,1.5782798557372262e-05,2.0910602262271963e-05,2.0418256639837433e-05,2.302512745182105e-05,1.396038108770219e-05,2.4836286657890256e-05,1.7900523842588588e-05,9.20114709085248e-06
"[TG(66:10),TG(65:3)]_FA18:3",-0.0018032972537343,4.243396778201099,9.922386361510548e-05,0.9920523095013102,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,1.960348357499808e-05,1.6997685664362588e-05,2.237279351315592e-05,2.191467472230485e-05,2.4787515888015878e-05,1.5037138089889616e-05,2.677613610014575e-05,1.9270840954709444e-05,9.835154967330084e-06
"[TG(66:10),TG(65:3)]_FA20:4",-0.003051762511558,4.341588333274342,0.00028466755232337,0.986538655445646,0.9999899773828564,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,TAG,2.0967215564954275e-05,1.8108648904762254e-05,2.3986721710700974e-05,2.3566309438070644e-05,2.6573463838577923e-05,1.6046222872946808e-05,2.8664492814226366e-05,2.0744203145342667e-05,1.0487499981426886e-05
