lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDF-J,GDF-L,GDF-M,GDF-N,G2F-J,G2F-L,G2F-M,G2F-N,Blank1
"[TG(60:8),TG(59:1)]_FA18:2",-0.0037066892964002,3.8064772212107543,0.0006424343625568707,0.97977875254912,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.3130752613291116e-05,1.345914786214045e-05,1.5886207640322494e-05,1.4438113062507944e-05,1.3837935240116249e-05,1.6521326768654032e-05,1.4002099282254746e-05,1.693482903688961e-05,9.202607505102207e-06
"[TG(60:8),TG(59:1)]_FA18:3",-0.0025081751048258,3.9120949355979695,0.0002950549020239724,0.9862952814081716,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.4103693588921066e-05,1.448549163286283e-05,1.7160651500693368e-05,1.5575590015298858e-05,1.4890306300368844e-05,1.785961134079688e-05,1.5087872783869506e-05,1.8140743422843714e-05,9.844242350428909e-06
"[TG(60:8),TG(59:1)]_FA20:4",-0.0145902980169644,4.012542159375126,0.0100114542949278,0.9202988704732604,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.517285974660946e-05,1.5393968496760535e-05,1.8266464322560782e-05,1.669410038640744e-05,1.5838344579162777e-05,1.9811825479760184e-05,1.6153990782751784e-05,1.9355927099173873e-05,1.0479873012577786e-05
"[TG(60:8),TG(59:1)]_FA22:5",-0.0025833549986517,4.096003292147377,0.0003145062189969794,0.9858507990031498,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.606607799500857e-05,1.6425065022360773e-05,1.9444346721220757e-05,1.7693429397514465e-05,1.6878254216153767e-05,2.0221600044381395e-05,1.716313306991925e-05,2.0662608403449382e-05,1.123461341926859e-05
"[TG(60:8),TG(59:1)]_FA22:6",-0.0198086405008584,4.227534511423194,0.0185486751440961,0.8916682969910148,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.7519911251279095e-05,1.7934995290371287e-05,2.1155428746240737e-05,1.9242017805985395e-05,1.8434453981666225e-05,2.3147432031186668e-05,1.8665153068669297e-05,2.243843934338504e-05,1.226960247348213e-05
"[TG(60:9),TG(59:2)]_FA14:0",-0.0017127234656711,3.64009949676456,0.00013641945905806807,0.9906810206633954,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.166204397533819e-05,1.1924265846315876e-05,1.4116006174409845e-05,1.284108332734798e-05,1.2220650737192157e-05,1.468158828490272e-05,1.2459026953968033e-05,1.499753206372779e-05,8.452248681626784e-06
"[TG(60:9),TG(59:2)]_FA16:0",-0.0298314964273163,3.6547794335933648,0.0414165818239649,0.8387359278119049,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.1623228603148976e-05,1.2288084362023313e-05,1.4095736550563152e-05,1.2830318560924809e-05,1.2221383819659666e-05,1.4697405311839206e-05,1.2945684369716178e-05,1.595287436671616e-05,8.159504677289664e-06
"[TG(60:9),TG(59:2)]_FA16:1",0.0021392795571927,3.720293856764209,0.00021344691352354064,0.9883434628668192,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.2279371140360014e-05,1.2580375047682687e-05,1.47705415872556e-05,1.4210515353358459e-05,1.3556455993139915e-05,1.5392176759334977e-05,1.3052669263021636e-05,1.566492616071247e-05,8.51196573961046e-06
"[TG(60:9),TG(59:2)]_FA18:0",-0.0059702379918764,3.641091529398473,0.0016580709038057,0.9675195820714196,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.1713642790689404e-05,1.1980347619606383e-05,1.4164990695987588e-05,1.2895932300820564e-05,1.2288332750770397e-05,1.4905660970927578e-05,1.2526452508324395e-05,1.503550650905689e-05,8.133865282712985e-06
"[TG(60:9),TG(59:2)]_FA18:1",-0.064179624326367,3.762878262451369,0.19237466070226,0.6609475134841803,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.2176405720685172e-05,1.321747341083886e-05,1.560018278438003e-05,1.341802354567345e-05,1.4698255424752511e-05,1.6315414461789293e-05,1.3022813105326818e-05,1.700988104294667e-05,8.528842215368151e-06
"[TG(60:9),TG(59:2)]_FA18:2",-0.0036177796064133,3.8062502817826767,0.0006119818648368525,0.9802637315878072,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.3134471403296716e-05,1.3456771462038924e-05,1.5882829262289796e-05,1.4435037442893377e-05,1.38408672903617e-05,1.6532164234965966e-05,1.4003094372036723e-05,1.6909413143190937e-05,9.197739302845748e-06
"[TG(60:9),TG(59:2)]_FA18:3",-0.0039013614424578,3.911850534038746,0.0007138665745454187,0.978684431685838,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.4097650427707461e-05,1.4474797968381553e-05,1.7142634200462867e-05,1.557148920544146e-05,1.489690352993135e-05,1.7865176613776005e-05,1.5091604619692142e-05,1.814762056469439e-05,9.840023200538013e-06
"[TG(60:9),TG(59:2)]_FA20:4",0.007384563667869,4.014021420940451,0.0025646989033247,0.9596101121592244,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.516123828955745e-05,1.5395632067482e-05,1.827519139195217e-05,1.727539767548644e-05,1.6090503044060017e-05,1.9011022274430667e-05,1.6147770724193755e-05,1.9358319190667295e-05,1.0490258531359218e-05
"[TG(60:9),TG(59:2)]_FA22:5",0.0133130974288661,4.102952595864765,0.0083541043638595,0.9271741342612216,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.6754760487835624e-05,1.6424114507645357e-05,1.9443783506077238e-05,1.7710858120503415e-05,1.6876299547059533e-05,2.0216913731004946e-05,1.7168357896329457e-05,2.0651843849149075e-05,1.1239157157245214e-05
"[TG(60:9),TG(59:2)]_FA22:6",0.0036527661974328,4.226882894618363,0.0006307311801716509,0.97996374455253,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.8006381960754072e-05,1.7938084383877286e-05,2.120187968565317e-05,1.9256370860473685e-05,1.8435431176401047e-05,2.2087700221071095e-05,1.86743585389391e-05,2.2730274676678552e-05,1.2264734240274197e-05
"[TG(61:10),TG(60:3)]_FA14:0",-0.0023160369817934,3.634305727564579,0.00024945545440407946,0.9873986084034184,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.1656233202480186e-05,1.1919038038043702e-05,1.412783004111006e-05,1.2832112631628228e-05,1.2230668614367527e-05,1.4672508179123552e-05,1.246002209120529e-05,1.5006502278506218e-05,8.157881922569861e-06
"[TG(61:10),TG(60:3)]_FA16:0",-0.0059827409995078,3.6341820961995617,0.0016645630733584,0.9674560909316592,0.9999567924688858,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.1628806943319383e-05,1.1928305817138867e-05,1.4090950805869029e-05,1.28159656530948e-05,1.2220895082479962e-05,1.4711757387482136e-05,1.2478682314334666e-05,1.5026536066150621e-05,8.15755739638708e-06
