lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDM-P_x,GDM-Q_x,GDM-R_x,GDM-S_x,GDM-P_y,GDM-Q_y,GDM-R_y,GDM-S_y,Blank1
"[TG(38:1)]_FA18:1 | DG(40:8),DG(39:1)_C18:1",0,4.619479898166882,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.869271447967218e-06,1.613931924693719e-05,1.3415864764162731e-05,1.3536390585161908e-05,5.869271447967218e-06,1.613931924693719e-05,1.3415864764162731e-05,1.3536390585161908e-05,9.907529536889386e-06
[TG(39:0)]_FA14:0,0,3.3406876888330017,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.016865768277111e-06,1.5956869625458003e-05,1.1172770071689369e-05,1.1424609935950307e-05,5.016865768277111e-06,1.5956869625458003e-05,1.1172770071689369e-05,1.1424609935950307e-05,1.0198812910316474e-05
[TG(39:0)]_FA16:0,0,3.5678214329881186,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,6.406634776739836e-06,1.916200191996687e-05,1.222251938950699e-05,1.3784415538831608e-05,6.406634776739836e-06,1.916200191996687e-05,1.222251938950699e-05,1.3784415538831608e-05,1.0403766097877499e-05
[TG(39:0)]_FA18:0,0,3.3251012250428245,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.033618839296494e-06,1.609385636537358e-05,1.1804403005904385e-05,1.1281555362712841e-05,5.033618839296494e-06,1.609385636537358e-05,1.1804403005904385e-05,1.1281555362712841e-05,8.511965770561932e-06
[TG(39:1)]_FA14:0,0,3.318271017804539,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.016655032768227e-06,1.502129146862008e-05,1.180627998113974e-05,1.1343918559852541e-05,5.016655032768227e-06,1.502129146862008e-05,1.180627998113974e-05,1.1343918559852541e-05,9.299485735928605e-06
[TG(39:1)]_FA16:0,0,3.3948061625127246,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.971897329656584e-06,1.422090570897512e-05,1.3012295486855358e-05,1.2310548660319721e-05,5.971897329656584e-06,1.422090570897512e-05,1.3012295486855358e-05,1.2310548660319721e-05,8.206402223693833e-06
[TG(39:1)]_FA16:1,0,3.515572770792029,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.441698887604952e-06,1.842382838945227e-05,1.4906724833115984e-05,1.2942987989474242e-05,5.441698887604952e-06,1.842382838945227e-05,1.4906724833115984e-05,1.2942987989474242e-05,8.510018458707876e-06
[TG(39:1)]_FA18:0,0,3.3181189921115357,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.018867735514663e-06,1.4200866153091714e-05,1.1161976826359341e-05,1.3730383134017626e-05,5.018867735514663e-06,1.4200866153091714e-05,1.1161976826359341e-05,1.3730383134017626e-05,7.798118603291585e-06
[TG(39:1)]_FA18:1,0,3.70802074981189,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,6.685536831951195e-06,2.3470207330239007e-05,1.557613370083494e-05,1.2979882153404658e-05,6.685536831951195e-06,2.3470207330239007e-05,1.557613370083494e-05,1.2979882153404658e-05,1.0176743582313653e-05
[TG(40:0)]_FA14:0,0,4.58155927221907,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,8.154540482554061e-06,3.273147268154598e-05,2.9170085245209387e-05,1.9177644196347974e-05,8.154540482554061e-06,3.273147268154598e-05,2.9170085245209387e-05,1.9177644196347974e-05,4.812325948052682e-05
[TG(40:0)]_FA16:0,0,3.8580787462913655,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,6.708190356541419e-06,2.976801119103911e-05,1.2865649664123153e-05,1.6091854695603387e-05,6.708190356541419e-06,2.976801119103911e-05,1.2865649664123153e-05,1.6091854695603387e-05,1.3273272414221008e-05
[TG(40:0)]_FA18:0,0,3.431454001929898,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.457398301176761e-06,1.5228566320554727e-05,1.269295930518906e-05,1.4381864741175381e-05,5.457398301176761e-06,1.5228566320554727e-05,1.269295930518906e-05,1.4381864741175381e-05,8.28948686916882e-06
[TG(40:1)]_FA14:0,0,3.3578804818441266,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.0178140780670885e-06,1.4285211670730749e-05,1.1177697349851851e-05,1.2357440120082181e-05,5.0178140780670885e-06,1.4285211670730749e-05,1.1177697349851851e-05,1.2357440120082181e-05,1.1627318544838394e-05
[TG(40:1)]_FA16:0,0,3.824782424535779,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,1.0199049925841668e-05,2.0875234224522806e-05,1.1661980411016293e-05,1.7467892093334405e-05,1.0199049925841668e-05,2.0875234224522806e-05,1.1661980411016293e-05,1.7467892093334405e-05,9.522938092064178e-06
[TG(40:1)]_FA16:1,0,3.5223439456198844,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,7.219107001951281e-06,1.650661132718159e-05,1.2093705883200366e-05,1.355567080537989e-05,7.219107001951281e-06,1.650661132718159e-05,1.2093705883200366e-05,1.355567080537989e-05,8.572007447582807e-06
[TG(40:1)]_FA18:0,0,3.501176941125466,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.0210803980674115e-06,1.6485973504928297e-05,1.3384423806683216e-05,1.688639083059845e-05,5.0210803980674115e-06,1.6485973504928297e-05,1.3384423806683216e-05,1.688639083059845e-05,7.794223979583473e-06
[TG(40:1)]_FA18:1,0,3.622648292384557,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,6.083057738196773e-06,1.959569375164055e-05,1.3835858257258954e-05,1.4823167781454386e-05,6.083057738196773e-06,1.959569375164055e-05,1.3835858257258954e-05,1.4823167781454386e-05,1.0638253303723315e-05
[TG(40:2)]_FA14:0,0,3.472554266831416,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.017814057970244e-06,2.286423515030984e-05,1.1170658413014559e-05,1.2073473179942446e-05,5.017814057970244e-06,2.286423515030984e-05,1.1170658413014559e-05,1.2073473179942446e-05,8.89996481768504e-06
[TG(40:2)]_FA16:0,0,3.2838651110355896,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,4.9975839113448085e-06,1.5024282287034087e-05,1.1131474647390406e-05,1.1747137316526005e-05,4.9975839113448085e-06,1.5024282287034087e-05,1.1131474647390406e-05,1.1747137316526005e-05,8.010374140664506e-06
[TG(40:2)]_FA16:1,0,3.9637921511805256,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,8.659451286541798e-06,2.116266741408785e-05,1.8956027008040464e-05,2.1729776480180844e-05,8.659451286541798e-06,2.116266741408785e-05,1.8956027008040464e-05,2.1729776480180844e-05,8.508557827797843e-06
[TG(40:2)]_FA18:0,0,3.250204554332164,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.020237456031876e-06,1.4199071468078813e-05,1.1158457380317072e-05,1.1279651143992549e-05,5.020237456031876e-06,1.4199071468078813e-05,1.1158457380317072e-05,1.1279651143992549e-05,7.792925751046452e-06
[TG(40:2)]_FA18:1,0,3.463228415710392,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.454131961079593e-06,1.6386673039493514e-05,1.2118576957452224e-05,1.4072666800841419e-05,5.454131961079593e-06,1.6386673039493514e-05,1.2118576957452224e-05,1.4072666800841419e-05,1.002907336708381e-05
[TG(40:2)]_FA18:2,0,3.4671309003314925,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,6.059772027176741e-06,1.6849676671533948e-05,1.2664568740142178e-05,1.2795410879751025e-05,6.059772027176741e-06,1.6849676671533948e-05,1.2664568740142178e-05,1.2795410879751025e-05,8.861830406760164e-06
[TG(41:0)]_FA14:0,0,3.4664859795408427,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.2209584461632934e-06,1.7479576653839557e-05,1.1975450670267794e-05,1.2949176575464766e-05,5.2209584461632934e-06,1.7479576653839557e-05,1.1975450670267794e-05,1.2949176575464766e-05,1.1485165738987936e-05
[TG(41:0)]_FA16:0 | DG(42:0)_C16:0,0,4.309735363767747,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,DAG,1.200048116471437e-05,2.8072126329274673e-05,2.0833093628518186e-05,2.5161658175990124e-05,1.200048116471437e-05,2.8072126329274673e-05,2.0833093628518186e-05,2.5161658175990124e-05,1.4409683375334618e-05
[TG(41:0)]_FA16:0 | DG(42:0)_C16:0,0,4.309735363767747,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_male,TAG,5.831445348577395e-06,1.5351196321996063e-05,1.1133117073444565e-05,1.296655262236261e-05,5.831445348577395e-06,1.5351196321996063e-05,1.1133117073444565e-05,1.296655262236261e-05,1.0233701904656164e-05
