lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N2M-P,N2M-Q,N2M-R,N2M-S,N2F-J,N2F-L,N2F-M,N2F-N,Blank1
DG(30:2)_C18:1,-5.183659549533845,8.947699760859365,934.2208557794409,3.570839863006096e-205,7.201937648700421e-203,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,3.537299423714334e-05,1.9993321822714568e-05,2.581513280859884e-05,2.416865217557554e-05,0.0010668693821265782,0.0009481088225630368,0.0008465352892573254,0.000977629971581535,0.00047890736684128135
FA(30:2),-5.062790530137883,11.352447825161471,905.7874408537529,5.416329718036275e-199,1.0281468235354741e-196,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0003799358345281635,0.00011040144033146564,0.0001824467949228546,7.540861429275472e-05,0.004943387834175723,0.00273027051451193,0.008985554543046436,0.005920630822956464,0.000710629048150088
FA(15:5),-5.047436012331404,8.686063793302901,895.9007179671993,7.637612739425975e-197,1.3692542394515344e-194,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,1.9797400864023355e-05,3.017541196179416e-05,1.4378362470402235e-05,1.332905791215346e-05,0.0007136116700656282,0.0007937270687666164,0.0006605426734616102,0.0006137329706419578,0.0006526479252572852
FA(15:3),-4.995426557512981,8.175051944854584,879.133122281402,3.3735581566470395e-193,5.729722195526312e-191,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,1.9788707179440926e-05,1.1187265260321939e-05,1.4389937086809582e-05,1.3341157764438073e-05,0.0004973730981735757,0.0004907979807379914,0.00043415073269366947,0.00045647197195087375,0.000496073284669337
FA(17:6),-4.79770882634652,10.541043869442491,833.5947084395448,2.680107047489376e-183,4.3243527211241093e-181,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,9.549018908648957e-05,7.979878975237549e-05,6.784429800653622e-05,0.00010625711465143144,0.002237110496278384,0.0023202392786978335,0.0026382677451433877,0.002762330634082043,0.002296268539721191
FA(28:0),-4.598759795722567,11.893029609034732,781.6712117809011,5.213473874965355e-172,8.011371521196761e-170,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0007806231255972696,0.0001731401157166053,0.0003867948677374304,0.00019687977563451263,0.009702821877893893,0.00645024912172181,0.00790707772905812,0.010055229898411974,0.000497232747605783
CE(20:0),4.574208289202862,9.97092906944882,774.1775695156092,2.2204314357391217e-170,3.2569692014227937e-168,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,CE,0.003495798400425956,0.0016405593882095689,0.0021621555689419194,0.0020257251342243533,0.00011289644929204386,0.00010385433996934257,8.390784978602567e-05,8.803581274110327e-05,6.45920491669322e-05
FA(14:2),4.457571583095837,16.48295570959618,744.7470867164666,5.566463540214429e-164,7.809990367074767e-162,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.05751085601504502,0.1020941471243193,0.24777920074918586,0.22330916781374197,0.0053169791261137534,0.019959957490761272,0.00283500644566393,0.004422918015020487,0.10344257331284291
"LPC(18:2),LPC(P-19:1)",-4.144026623201516,7.65019700700127,658.2749453243292,3.543977651688009e-145,4.765173284165503e-143,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PC,3.6097607627302135e-05,1.91495662581865e-05,2.7360612383745617e-05,2.035773859511791e-05,0.00035095273070257215,0.0005966748519508244,0.0005429332089919368,0.0003270417498304331,1.5729302660286266e-05
FA(34:5),-3.975230508551279,9.744551078447794,618.5452648645365,1.5493778471814382e-136,1.999936925141801e-134,4,4,SampleType_Neuron|SleepCondition_Wakingup|Sex_male,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.00010281683380059297,8.162457004057014e-05,8.509067319914389e-05,4.646080973144651e-05,0.0013683178714092063,0.0013931724082468743,0.0011170230203626193,0.0012077993795589648,0.0016800748390986334
