lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G2M-P_x,G2M-Q_x,G2M-R_x,G2M-S_x,G2M-P_y,G2M-Q_y,G2M-R_y,G2M-S_y,Blank1
"[TG(38:1)]_FA18:1 | DG(40:8),DG(39:1)_C18:1",0,4.508952779245671,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.377318410671855e-05,8.429852619947479e-06,1.1987216587388392e-05,1.74183577524479e-05,1.377318410671855e-05,8.429852619947479e-06,1.1987216587388392e-05,1.74183577524479e-05,9.907529536889386e-06
[TG(39:0)]_FA14:0,0,3.4601707410769853,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.1859177059733372e-05,7.595605829303622e-06,1.3969384529407495e-05,1.1774311359809647e-05,1.1859177059733372e-05,7.595605829303622e-06,1.3969384529407495e-05,1.1774311359809647e-05,1.0198812910316474e-05
[TG(39:0)]_FA16:0,0,3.495202692173532,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.2782077556184714e-05,8.066884554324046e-06,1.3518261265215274e-05,1.18318560608642e-05,1.2782077556184714e-05,8.066884554324046e-06,1.3518261265215274e-05,1.18318560608642e-05,1.0403766097877499e-05
[TG(39:0)]_FA18:0,0,3.4076437113445124,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.1488276405252745e-05,8.273466617729405e-06,1.1478583797295634e-05,1.275047561240644e-05,1.1488276405252745e-05,8.273466617729405e-06,1.1478583797295634e-05,1.275047561240644e-05,8.511965770561932e-06
[TG(39:1)]_FA14:0,0,3.328970431638099,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.2295931956054094e-05,7.135921554938348e-06,1.0641007006633828e-05,1.1168809963995189e-05,1.2295931956054094e-05,7.135921554938348e-06,1.0641007006633828e-05,1.1168809963995189e-05,9.299485735928605e-06
[TG(39:1)]_FA16:0,0,3.354702904184712,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.2584514606366151e-05,7.12927584269011e-06,1.1395564760356137e-05,1.1840476279211501e-05,1.2584514606366151e-05,7.12927584269011e-06,1.1395564760356137e-05,1.1840476279211501e-05,8.206402223693833e-06
[TG(39:1)]_FA16:1,0,3.4582165086819034,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.5671433347756797e-05,7.288913933107574e-06,1.1607476317022943e-05,1.2090225232003852e-05,1.5671433347756797e-05,7.288913933107574e-06,1.1607476317022943e-05,1.2090225232003852e-05,8.510018458707876e-06
[TG(39:1)]_FA18:0,0,3.347542632526487,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.2328153434610186e-05,7.203085493644507e-06,1.1826996150936515e-05,1.1547626856792324e-05,1.2328153434610186e-05,7.203085493644507e-06,1.1826996150936515e-05,1.1547626856792324e-05,7.798118603291585e-06
[TG(39:1)]_FA18:1,0,3.690502999411979,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.439668292570414e-05,9.888229301565334e-06,1.402197092685122e-05,1.5479308844924294e-05,1.439668292570414e-05,9.888229301565334e-06,1.402197092685122e-05,1.5479308844924294e-05,1.0176743582313653e-05
[TG(40:0)]_FA14:0,0,4.256015217763986,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.3584323526119732e-05,1.0947298561243284e-05,2.1801387910692564e-05,1.199983105132361e-05,1.3584323526119732e-05,1.0947298561243284e-05,2.1801387910692564e-05,1.199983105132361e-05,4.812325948052682e-05
[TG(40:0)]_FA16:0,0,3.801239960581192,0.0,1.0,1,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_male,TAG,1.7308382279368606e-05,1.141546673391377e-05,1.4546267611284725e-05,1.2746049124286187e-05,1.7308382279368606e-05,1.141546673391377e-05,1.4546267611284725e-05,1.2746049124286187e-05,1.3273272414221008e-05
