lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N4F-J,N4F-L,N4F-M,N4F-N,N2F-J,N2F-L,N2F-M,N2F-N,Blank1
FA(22:2),1.3312960180554194,11.925182478809132,79.05944163222193,6.026900908158635e-19,1.296587282041861e-16,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0007430498888326215,0.01351932744054075,0.00921421714790833,0.0010071845578751941,0.0031197826914989898,0.0016385250773503822,0.004782659926025166,0.0015475176127017062,0.0008428439539508923
DG(33:5)_C18:1,1.3161059437181777,8.391127981860214,77.19669185587603,1.547525329746478e-18,3.121165149432428e-16,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.00011555745913881982,0.00017782846764126154,0.00022546838665854006,0.0012729438891647513,0.0002548219775163931,0.00025213540400107127,0.0001950217012412125,0.0002447891011501984,0.0001474961681083643
FA(24:12),1.258729769543517,11.646759017449948,70.92125714377504,3.7177065652518056e-17,7.057081815333869e-15,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0025773073163524503,0.008830058019231963,0.005660730428531823,0.0016036257307081166,0.0027266226895428887,0.0012844207874493814,0.003668878905963161,0.0015737300102543405,0.0011381970208132503
CAR(22:5)_QUAL,1.1313918991293253,8.37837135178394,57.53843579089654,3.3143884721313023e-14,5.94196199975984e-12,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,CAR,0.0002709983163024118,0.0008980338193058726,0.0005372672531367555,0.0001813198481174571,0.0002643120120447182,0.0002043975201096984,0.000379267383553053,0.00018495208716953095,0.00010623973124092005
"DG(35:4),DG(O-36:4),DG(dO-37:4)_C18:1",1.1130880262694258,6.635879619987326,55.5175094989205,9.26302498241926e-14,1.5732516641193128e-11,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,0.00012933875941596186,0.00019816420966743638,0.00018730452907367645,5.2890788758725825e-05,7.481010024648467e-05,8.649252633348546e-05,0.00011422638478158097,4.5048943734880045e-05,2.0976460439006438e-05
FA(15:0) | FA(16:7),1.0779369386410809,12.748217901788324,52.43191069959994,4.454270292960961e-13,7.18696511769251e-11,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.01662865476633346,0.002554189824896427,0.003655031398242203,0.004110213580196977,0.003956999280893797,0.0068301367590986786,0.003964396303690646,0.003003563030824488,0.010762694628226346
"DG(36:4),DG(O-37:4)_C18:1",1.036736266424104,6.757810365265224,48.32956349028075,3.602794300775357e-12,5.284644185728217e-10,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,DAG,4.693423151563083e-05,6.120571134326902e-05,8.258726742986967e-05,0.00036030402023149875,8.77087233773949e-05,9.760069077336402e-05,7.403401492220543e-05,9.16271106670409e-05,4.35703145862223e-05
FA(15:0) | FA(16:7)_2,1.0348461364148038,12.745067986879604,48.40751591216758,3.4623862833545404e-12,5.284644185728217e-10,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.016294453846401446,0.002769076652568859,0.003803131743953801,0.0025406568860053126,0.003998994541034769,0.007123812946392601,0.0028912484976351804,0.003289298244128887,0.012273218136278706
FA(36:5),0.993768800571348,11.23432175411122,44.70684474932568,2.2885587461696888e-11,3.2109474234302544e-09,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0016233485271445881,0.0022461674400365748,0.003660077469231027,0.005619680970180287,0.0031038385490431814,0.0010524114565447918,0.0024263006649356705,0.0016463054790303352,0.0003993688311294888
FA(16:2),0.9668274735988576,12.414417351246732,42.3607695534156,7.58972525473989e-11,1.0205018082102346e-08,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.011779012694582196,0.0011530790405894138,0.0009698718118923094,0.0010193797036597266,0.001827243928305548,0.007098582504431661,0.0008882976410033184,0.0015771905299393342,0.015035396679523364
FA(30:2),0.9116244190362216,12.660358776289856,37.7403952457971,8.081363635726701e-10,1.0431424180996026e-07,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0046087282719068385,0.015805445157759574,0.013484305022915246,0.003003879706089832,0.004943387834175723,0.0027302705145119304,0.008985554543046436,0.005920630822956464,0.0007106290481500879
PC(40:5),0.8826379511974659,5.703640273140292,35.05274259286236,3.208946877476304e-09,3.98279675908309e-07,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PC,6.359526015408498e-05,8.631651045263847e-05,5.506828291470693e-05,6.852820116012845e-05,3.9978613779301665e-05,4.7041438660323146e-05,4.464357096555463e-05,5.5445675173085425e-05,8.046886013529883e-06
"[TG(51:8),TG(50:1)]_FA22:5",0.8752978710409223,4.71797649764588,34.098122749024384,5.2401795437287015e-09,6.262984958375007e-07,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,TAG,6.851155516403923e-05,1.705667416156378e-05,2.145371852119574e-05,1.7011553359284284e-05,2.4565046076467334e-05,2.4294114056903656e-05,2.063037029590004e-05,2.1329108073713314e-05,1.244664430462375e-05
PC(38:5),0.8618708402459291,6.03922385303813,33.51719581998884,7.063671804493158e-09,8.140881754678365e-07,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PC,9.383231596227778e-05,0.000124250586638589,5.715443297241672e-05,6.442978611929516e-05,5.595923182647255e-05,6.989209129620268e-05,5.6276652712143714e-05,5.7957297346758036e-05,1.1682491926748391e-05
PC(40:6),0.8460023959532508,5.6162952587278525,32.22152628739286,1.3755824820093893e-08,1.5306912653256202e-06,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,PC,6.308464313023455e-05,6.301557842158586e-05,5.832510099904802e-05,6.91790561965295e-05,3.277113993715797e-05,5.576277023008951e-05,5.38490980805139e-05,3.7015764702167335e-05,9.15116640643025e-06
[TG(45:2)]_FA16:0,0.8419103527270958,4.078135102179438,31.185632211886727,2.3449525486720996e-08,2.522387291521621e-06,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,TAG,4.217108317846043e-05,1.1398823945206349e-05,1.3225691469261008e-05,1.005153248241657e-05,1.4684416111864528e-05,1.557996166703654e-05,1.3308725074642622e-05,1.3853164171464637e-05,1.0582106219459079e-05
FA(5:0),-0.8062110694096642,11.10115139116539,29.611293700769245,5.2796424719503046e-08,5.495937502252784e-06,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,SampleType_Neuron|SleepCondition_Wakingup|Sex_Female,FA,0.0005328118209649724,0.0009004955214001246,0.0014197393337348496,0.0012173343086188267,0.0017305745523514562,0.0011145068331361936,0.0031606281343637705,0.00242406780826381,0.00552075556133465
