lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDM-P,GDM-Q,GDM-R,GDM-S,GDF-J,GDF-L,GDF-M,GDF-N,Blank1
"[TG(52:7),TG(51:0)]_FA18:1",0.0380180284395594,3.5268879586851387,0.0216673084112183,0.8829755857973414,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.451287132193883e-06,1.649345106439874e-05,1.2501264018181674e-05,1.233744584621919e-05,1.218454077608718e-05,1.2424724467048472e-05,1.47032580773319e-05,1.3413409969593325e-05,8.510505294409258e-06
"[TG(52:7),TG(51:0)]_FA18:2",-0.006512652655021,3.578297623125515,0.0006361690524339103,0.9798775764943776,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.743149099652093e-06,1.615337676665392e-05,1.2664099552274284e-05,1.2793030413399998e-05,1.2655671016844547e-05,1.3595074639208374e-05,1.527812316688917e-05,1.3899105958661035e-05,8.857935814003524e-06
"[TG(52:7),TG(51:0)]_FA18:3",-0.0521116399592875,3.723502763235085,0.0407817879641161,0.8399597122672635,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,6.0901171767759415e-06,1.7334214926374512e-05,1.3615302948820268e-05,1.4443275760854696e-05,1.5229571903759873e-05,1.398146868392913e-05,1.7406418958145268e-05,1.5425139644042798e-05,1.0102908412795787e-05
"[TG(52:7),TG(51:0)]_FA20:4",-0.0776304164340712,3.8114327354860102,0.0905725613812782,0.7634505204766276,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,6.549615523635101e-06,1.8639478057791242e-05,1.4551020773829717e-05,1.4816503174833907e-05,1.526350641116949e-05,1.490562947122053e-05,1.7683998056941265e-05,1.9173584658485126e-05,1.0147371842595988e-05
"[TG(52:7),TG(51:0)]_FA22:5",-0.0376599376469709,3.9453230360343454,0.021339826523187,0.8838569914805083,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,7.2323830174614594e-06,2.0549217731736614e-05,1.615333184707046e-05,1.67521434335179e-05,1.6060035055454977e-05,1.8319012617714137e-05,1.976837686682076e-05,1.8284466262773813e-05,1.122990737177337e-05
"[TG(52:7),TG(51:0)]_FA22:6",-0.2582256200976327,4.168932966734144,1.003563823719123,0.3164497007387724,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,7.867314676194454e-06,2.2495148270955776e-05,1.7499188519345665e-05,1.7808033644623315e-05,1.7525257114429894e-05,2.5103005068629784e-05,2.931333280250664e-05,1.9906870226399654e-05,1.2680806984286786e-05
"[TG(52:8),TG(51:1)]_FA14:0",-0.0334266695376549,3.426467298913161,0.0167319585937661,0.8970790697930415,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.019394534093186e-06,1.4845721140241453e-05,1.1177462666412396e-05,1.1350583393473798e-05,1.1176968039316817e-05,1.1414539718439301e-05,1.4645546271579605e-05,1.322989641860716e-05,8.03033394014909e-06
"[TG(52:8),TG(51:1)]_FA16:0",-0.0753447124213662,3.584085492892592,0.0851561316070679,0.7704278958476026,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,6.174093448253346e-06,1.600532321133886e-05,1.2696009697621693e-05,1.1561475832396937e-05,1.3487296198981646e-05,1.314333154067912e-05,1.5049246847859683e-05,1.6032067373597713e-05,7.931995326024436e-06
"[TG(52:8),TG(51:1)]_FA16:1",-0.026722107736917,3.561971883584501,0.0107082322948315,0.9175815545345514,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.614814128977908e-06,1.5465152687614222e-05,1.2372919565484686e-05,1.2956317475116135e-05,1.2277046902148014e-05,1.258655359729626e-05,1.5572312252950035e-05,1.48489684528362e-05,8.801788667836346e-06
"[TG(52:8),TG(51:1)]_FA18:0",0.024301591094213,3.439465743441739,0.0088456469833353,0.9250684059982912,0.99994255993212,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_male,SampleType_Glia|SleepCondition_Deprived|Sex_Female,TAG,5.0186569799089365e-06,1.5708618176629138e-05,1.1142971629769525e-05,1.228293742077525e-05,1.122066432061763e-05,1.175768418781622e-05,1.4564749840178816e-05,1.2578115503770052e-05,7.789193467808413e-06
