lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,GDF-J,GDF-L,GDF-M,GDF-N,G4F-J,G4F-L,G4F-M,G4F-N,Blank1
"[TG(66:8),TG(65:1)]_FA18:3",-0.0270499833763702,3.910333456841102,0.0323864981312937,0.8571820153021188,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.4099742410559868e-05,1.4484541027497023e-05,1.714038209162984e-05,1.557969087404234e-05,1.4879353419631342e-05,1.733415223173058e-05,1.427908723805304e-05,1.952491281001921e-05,9.850246471703789e-06
"[TG(66:8),TG(65:1)]_FA20:4",0.0050708603740239,3.995216697097715,0.0011405685924196,0.9730587206637836,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.516914077927585e-05,1.5613542971020296e-05,1.826787195770116e-05,1.6651041418486947e-05,1.5860812080116623e-05,1.7301012020905385e-05,1.525196733907323e-05,2.0795192277198327e-05,1.0490907676579197e-05
"[TG(66:8),TG(65:1)]_FA22:5",-0.0058671422050597,4.128471329955409,0.0015316468847923,0.968781751416576,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.6552316094467946e-05,1.6926949301853492e-05,2.003948127353735e-05,1.8247814794978585e-05,1.7424554281463668e-05,1.8988752646278274e-05,1.6851897825250654e-05,2.2881435993124355e-05,1.1569386427287227e-05
"[TG(66:8),TG(65:1)]_FA22:6",0.0029427517793287,4.249197516763186,0.0003863128401166982,0.9843187141475042,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.8244852356731755e-05,1.8443770812882055e-05,2.175844600164765e-05,1.9785638388140257e-05,1.8926039517142835e-05,2.0682105787963214e-05,1.8141240028126326e-05,2.479264684215715e-05,1.2604213264836585e-05
"[TG(66:9),TG(65:2)]_FA14:0",-0.0031734251928633,3.622478031380625,0.0004420706293659926,0.9832253334776556,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.1668319524907391e-05,1.1911196189659846e-05,1.4126985460025834e-05,1.2836726207708359e-05,1.2247481617155902e-05,1.3398495954605166e-05,1.176806529660194e-05,1.6131710036851843e-05,8.156583724984315e-06
"[TG(66:9),TG(65:2)]_FA16:0",-0.0047066684743884,3.6212715452186175,0.0009723984095052484,0.9751233554142132,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.1625785274048576e-05,1.19226025022204e-05,1.4098551981931276e-05,1.282288577278453e-05,1.2189131323348949e-05,1.3427894453905254e-05,1.17579630725512e-05,1.6162276433501366e-05,8.154798815503276e-06
"[TG(66:9),TG(65:2)]_FA16:1",-0.0005239408187700976,3.690885297447315,1.2076007955386103e-05,0.9972273127674268,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.2274722530940009e-05,1.2588217122692528e-05,1.4771949276091767e-05,1.34310950023645e-05,1.2903252396641171e-05,1.4087222490822275e-05,1.2310303307362591e-05,1.680899924882614e-05,8.516996251385519e-06
"[TG(66:9),TG(65:2)]_FA18:0",-0.002266325923295,3.6266663408892494,0.0002255027687237399,0.9880188176360694,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.1708761925909808e-05,1.1968703712360876e-05,1.4171184236909456e-05,1.289490715946383e-05,1.2271163562645673e-05,1.3496045476440155e-05,1.1789679765870734e-05,1.616999854936094e-05,8.13126888754189e-06
"[TG(66:9),TG(65:2)]_FA18:1",-0.0065139101473685,3.6841008889851983,0.0018661451198482,0.9655429804809378,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.2171292423217975e-05,1.2418545962760094e-05,1.46922788454117e-05,1.3412128567340452e-05,1.277971534282107e-05,1.4008915598050228e-05,1.2309363442620861e-05,1.6860801556143634e-05,8.505636968346909e-06
"[TG(66:9),TG(65:2)]_FA18:2",-0.029645352028561,3.811060362110329,0.0387882353665206,0.8438687856213084,0.9999387932802032,4,4,SampleType_Glia|SleepCondition_Deprived|Sex_Female,SampleType_Glia|SleepCondition_Goingtosleep|Sex_Female,TAG,1.3126103915207108e-05,1.3447978962964064e-05,1.5878606625347617e-05,1.4427348344970866e-05,1.3802190285938378e-05,1.509211646335026e-05,1.3252876198499234e-05,1.944994470744789e-05,9.558476324478264e-06
