lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,NDM-P,NDM-Q,NDM-R,NDM-S,NDF-J,NDF-L,NDF-M,NDF-N,Blank1
DG(34:3)_C16:0,0.000546465421178591,4.612929033191106,9.986209480672414e-06,0.9974786120401098,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,2.8766668162529095e-05,2.500712837533125e-05,3.493339647819638e-05,3.21713516613498e-05,2.184855705358596e-05,2.2376498176789623e-05,2.0692082668808164e-05,2.568208811389434e-05,1.478113050383429e-05
DG(34:3)_C16:1,0.0018067559533928,4.744397501698681,0.0001093585807296904,0.9916563019593692,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.2787202327598065e-05,2.711298856863793e-05,3.7260152276536127e-05,3.623248552801011e-05,2.450214358386023e-05,2.5461589712737066e-05,2.2750754221643616e-05,2.7097525813975048e-05,1.5294568159617287e-05
DG(34:3)_C18:0,-0.0987522425590608,4.736526441344945,0.3265788581548141,0.5676805585518694,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,2.8822024770662453e-05,2.655891882151869e-05,4.06427276595119e-05,3.179496997305196e-05,2.434339478425572e-05,2.878539417975434e-05,2.183882524402614e-05,2.747168483088655e-05,1.568581302569472e-05
DG(34:3)_C18:1,-0.1754501799721317,7.625408062157184,1.0463665755476654,0.3063453836696627,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,0.0001909579622836506,0.0001067552919797109,0.0002445710580447248,0.0004193308445016405,0.00015819994501383564,0.00019838329470907624,0.0001577345502938237,0.00028290491349782507,0.00010184613866873582
"DG(34:4),DG(dO-36:4)_C16:0",0.0690329637999672,4.73836311070568,0.1596027141829603,0.6895225517379238,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.566250157876095e-05,2.4936810503011687e-05,3.7409279226032365e-05,3.741519153376117e-05,2.6959526595172802e-05,2.5034445944260348e-05,2.1015356614058197e-05,2.3235352870456837e-05,1.6094421017522395e-05
"DG(34:4),DG(dO-36:4)_C16:1",0.0654815323575311,4.714450185914515,0.1435708743693084,0.7047565733794621,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.135964738308582e-05,2.89963174840889e-05,3.7059203329877273e-05,3.522102771625329e-05,2.3348237633468137e-05,2.340677045404677e-05,2.3053186907574014e-05,2.5296868990121936e-05,1.5450676674628924e-05
"DG(34:4),DG(dO-36:4)_C18:1",-0.0641983032045428,5.514497556126345,0.1390825899158017,0.7091947506109737,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,4.6618921875811447e-05,4.469439573867473e-05,5.397208102695882e-05,8.189929156095001e-05,4.067195590436108e-05,4.7864224418074626e-05,3.643617418775891e-05,5.270003473121723e-05,2.25224529395446e-05
DG(34:5)_C16:0,-0.0621404036794391,5.949969618108746,0.1306125349546647,0.7177977852656394,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,8.453053976217852e-05,6.0113463159910556e-05,9.354072104163275e-05,5.394684110256483e-05,5.759632199976477e-05,6.0071668459146896e-05,4.9394228307086976e-05,6.271438439817907e-05,4.275066399073944e-05
DG(34:5)_C16:1,-0.045206974330233,4.761374215008022,0.068459954764787,0.7935924232136441,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.122744213696353e-05,2.6687128499458392e-05,3.705622086199668e-05,3.621499636317165e-05,2.589714939015461e-05,2.5049132403411325e-05,2.2512004037426213e-05,2.793135813501015e-05,1.7154400259189693e-05
DG(34:5)_C18:0,-0.1835190248900225,4.998559042757416,1.1308696607526656,0.2875899146982564,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.445832762733617e-05,3.051789157330728e-05,4.415578967439424e-05,4.2093183626466454e-05,2.8247376741738716e-05,4.586242432332055e-05,2.639129191045198e-05,2.749299589650132e-05,1.6268379741597428e-05
DG(34:5)_C18:2,0.2002967112092553,5.086791759529783,1.348035287834307,0.2456218842926715,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.909332296242009e-05,4.3927961309470416e-05,4.2302885389174136e-05,5.580616057160627e-05,3.005810593210566e-05,2.8625837320987612e-05,2.9320904432150125e-05,3.07684383417672e-05,1.7753843729413326e-05
DG(34:6)_C16:0,0.1225169693897933,4.74412112913976,0.5027258730679094,0.4783048396558849,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.4459304348634954e-05,3.031456272811985e-05,4.049509208617464e-05,3.3505994934313524e-05,2.167120491968556e-05,2.5225117665966082e-05,2.2490467649859185e-05,2.6503511387719944e-05,1.493026110236239e-05
DG(34:6)_C16:1,0.0270581925219026,4.979742796341257,0.0245820735427244,0.8754129444012175,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.9943213280243605e-05,3.4612698613216e-05,4.111769729587207e-05,3.755401196209287e-05,2.9581611387905062e-05,2.5936027729144932e-05,2.7498435761696807e-05,3.0365954098726716e-05,2.184300811662139e-05
DG(34:6)_C18:0,0.0982604898262582,4.673844075718885,0.3231000100283836,0.5697505813293886,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.094056370097756e-05,3.192904681349174e-05,3.1792034211579455e-05,3.497909406083389e-05,2.237342055082096e-05,2.4592865590021173e-05,2.0633263503037702e-05,2.4115584067561384e-05,1.4712488186561553e-05
DG(34:6)_C18:1,0.0561882776709419,5.168091813608422,0.1062221014021034,0.74448690887444,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,4.419852563191471e-05,3.84844095075368e-05,5.095225720640398e-05,4.729949488316954e-05,3.53203827976461e-05,2.695460091820922e-05,3.763339999921362e-05,2.972715929842778e-05,2.1471236276230106e-05
DG(34:6)_C18:2,0.0618199369702619,4.93373519516435,0.1282960190545026,0.7202053681970843,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.733069627984188e-05,3.2579697308274064e-05,4.172128943282678e-05,4.3543328371814826e-05,2.6824589912072335e-05,2.7306322329568112e-05,2.697925203541593e-05,3.0321443286359896e-05,1.733355189741279e-05
DG(35:3)_C16:0,-0.0081808333763061,4.601967865687861,0.0022370074168341,0.962276508885468,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,2.7852629130057184e-05,2.4030304981445987e-05,3.4983353988500276e-05,3.091577399644695e-05,2.1930908109883754e-05,2.2269463393914677e-05,2.0813426186731653e-05,2.3534788042434353e-05,1.656031226024449e-05
DG(35:3)_C16:1,0.0587131269504346,4.772876888249683,0.1154849298920233,0.7339839991235672,0.9999849443692131,4,4,SampleType_Neuron|SleepCondition_Deprived|Sex_male,SampleType_Neuron|SleepCondition_Deprived|Sex_Female,DAG,3.1639687838349923e-05,3.0032727179063634e-05,3.687875954321349e-05,3.759372705351084e-05,2.4252858241943385e-05,2.590441525591045e-05,2.2263296001933295e-05,2.5768951495813696e-05,1.7638790856195164e-05
