lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,G2M-P,G2M-Q,G2M-R,G2M-S,G2F-J,G2F-L,G2F-M,G2F-N,Blank1
[TG(48:3)]_FA18:0,0.1051317784710033,3.486719387765432,0.1955160107749982,0.658364800748918,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.1194519418102115e-05,7.426211150654181e-06,1.096323817790901e-05,1.3029346363620714e-05,1.1774730700039361e-05,1.4131512147111957e-05,1.2008197088801628e-05,1.4406086743337388e-05,7.925666585712356e-06
[TG(48:3)]_FA18:1,-0.1097830925071498,3.655035646632881,0.2136377991269906,0.643930953791777,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.255041162418456e-05,7.3218596114362375e-06,1.2930413598146913e-05,1.2079974242002709e-05,1.678833724742635e-05,1.676883191543729e-05,1.3261165699917075e-05,1.6530266042647777e-05,8.608356949026641e-06
[TG(48:3)]_FA18:2,-0.1017560556706946,3.72924561805906,0.1837023805975945,0.6682105919532249,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.52899490447292e-05,7.614835772251774e-06,1.2249476689875148e-05,1.25310134028486e-05,1.4019968285161311e-05,1.9377446973804165e-05,1.3917257687319627e-05,2.0170136061082233e-05,8.860694456790272e-06
[TG(48:3)]_FA18:3,-0.0720026261689809,3.765142661926685,0.0920055107713329,0.7616428802326365,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.3668052590717942e-05,8.190183369333487e-06,1.3023726231847246e-05,1.3563790391762594e-05,1.4375238410931476e-05,1.8224571479947644e-05,1.4728353285322641e-05,2.0036178823386613e-05,1.0143477095081989e-05
[TG(48:4)]_FA14:0,0.0066872133425591,3.4530272741277117,0.0007908728857373148,0.9775644788333706,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.1184876476508237e-05,6.755844318671944e-06,1.1338502915751021e-05,1.1057681000983062e-05,1.239510931133579e-05,1.4075274151904181e-05,1.1939278781134097e-05,1.4379474775376019e-05,7.816942483757744e-06
[TG(48:4)]_FA16:0,-0.0372796923146969,3.470869279559294,0.0245843909688217,0.8754071199060922,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.137961690173062e-05,6.7250196284043266e-06,1.1112941240973884e-05,1.1084705978727868e-05,1.1715844837197471e-05,1.4795235644160157e-05,1.2843675352418136e-05,1.5100690845414786e-05,7.820674797947258e-06
[TG(48:4)]_FA16:1,-0.0231674399264786,3.582313001148433,0.0095055781945105,0.922332070082796,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.2165634443084235e-05,7.291883300211347e-06,1.160635743389208e-05,1.2086730575311725e-05,1.2933634068777741e-05,1.5386904621869436e-05,1.3050181467383773e-05,1.6437273435937984e-05,9.346869808519434e-06
[TG(48:4)]_FA18:0,-0.0183162742121009,3.452327932119675,0.0059331647330047,0.9386020348734622,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.1610341992198714e-05,6.731099709674938e-06,1.0604308578924207e-05,1.1045799239328088e-05,1.2131222319228056e-05,1.4133855331733812e-05,1.1997249772452015e-05,1.5070490825761221e-05,7.79130296537518e-06
[TG(48:4)]_FA18:1,0.0582580242100134,3.584909885748444,0.06011607058915,0.8063125802075441,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.2941303579918628e-05,7.6114422291113775e-06,1.1934854009251865e-05,1.2365834306601233e-05,1.2771636824687518e-05,1.5283801816879384e-05,1.3020822641031181e-05,1.5671504398061397e-05,8.739962050382958e-06
[TG(48:4)]_FA18:2,-0.0063739349701603,3.6534600904468606,0.000720277936599345,0.9785889490754114,0.9998872028659684,4,4,SampleType_Glia|SleepCondition_Wakingup|Sex_male,SampleType_Glia|SleepCondition_Wakingup|Sex_Female,TAG,1.341921743346398e-05,7.930435554003268e-06,1.226737839315864e-05,1.2528916537735077e-05,1.3867256022195341e-05,1.6112723908078265e-05,1.3478619036321766e-05,1.7770566822238778e-05,8.85955847586891e-06
