lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,N4M-P,N4M-Q,N4M-R,N4M-S,N4F-J,N4F-L,N4F-M,N4F-N,Blank1
DG(35:6)_C16:0,-0.1323015738195429,4.604600547274385,0.5802575416543192,0.4462113905337288,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,3.840552253075304e-05,2.1538631467075867e-05,3.779377041622736e-05,2.7865882631125033e-05,1.9018727159333316e-05,2.1303468386686457e-05,2.354234813013686e-05,2.2549011118543234e-05,1.534617162971079e-05
DG(35:6)_C16:1,0.0742822745885973,4.707385129507331,0.1831779612390808,0.6686562565713907,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.157195259040849e-05,2.7431327685336363e-05,4.2070316523470156e-05,3.12375918156324e-05,1.918081541151904e-05,2.1824920848111467e-05,2.6341150478770165e-05,1.9285782821440496e-05,1.7412255176332703e-05
DG(35:6)_C18:0,-0.0331809629999858,4.558661584461497,0.0364928934131222,0.8485012024286114,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,3.618641705223787e-05,2.2040052391360543e-05,3.77866677461551e-05,3.000008249648836e-05,1.8354774484030582e-05,2.094008706943801e-05,2.3849896688639452e-05,1.8764122127660597e-05,1.418639314300881e-05
DG(35:6)_C18:1,0.0097821251535422,4.746642926209003,0.0031788744875598,0.955037887692631,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.16260973996539e-05,2.7078734699459173e-05,4.45148824342803e-05,3.148944619376674e-05,1.9237888602274647e-05,2.2608916640901872e-05,2.769921440183549e-05,2.2160817204743665e-05,1.6936952240989292e-05
DG(35:6)_C18:2,0.0355584015996254,4.832137846538664,0.04204684848842,0.8375304962933421,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.428331986407199e-05,2.7406855953688656e-05,4.971873859689694e-05,3.512740997707158e-05,2.1137668622572484e-05,2.4677692979233673e-05,2.9423801285113435e-05,2.1723387095244315e-05,1.7293470019876496e-05
DG(36:3)_C16:0,0.0362719519549891,4.527961838548326,0.0435862383490439,0.8346253136009021,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,3.6882031838324054e-05,2.1972130740623117e-05,3.906066547019642e-05,2.8343029474774604e-05,1.7040946955638706e-05,1.9392081793323403e-05,2.4259134705980748e-05,1.7558035766624075e-05,1.4488224499493286e-05
DG(36:3)_C16:1,0.0072667933018671,4.6606285395500935,0.0017523367244702,0.966609569430615,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.0191883572392134e-05,2.3838975527935932e-05,4.259855945950332e-05,3.002696400708724e-05,1.858287747008756e-05,2.1387273428341113e-05,2.583766349598681e-05,2.0291058262391825e-05,1.6388625219448936e-05
DG(36:3)_C18:0,-0.183650787742728,4.633316869681422,1.1182115487115372,0.2903038798975677,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,3.578095247211603e-05,2.1927432615665597e-05,3.7703214315000996e-05,3.01392903061529e-05,1.6648853266818283e-05,2.0566712445841904e-05,2.55794441987051e-05,2.7616892748907092e-05,1.5068194820224896e-05
DG(36:3)_C18:1,-0.0872139955807184,4.959889928368992,0.2532722715742395,0.6147803371784142,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.510954301193573e-05,3.0247825662471377e-05,5.468066963289426e-05,3.4857634795333244e-05,2.3153117413021187e-05,2.528522132206364e-05,2.9314671227752255e-05,3.2161689384480185e-05,1.7821999241936147e-05
DG(36:3)_C18:2,0.0357853641082122,5.066901514523596,0.0426878258539336,0.836314197094199,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.7008326317187946e-05,3.535318127255346e-05,5.8008598521221196e-05,4.2110522253036215e-05,2.1934221729394272e-05,2.6369915249744538e-05,3.563181816518035e-05,3.061603515672403e-05,1.9966137015112402e-05
"DG(36:4),DG(O-37:4)_C16:0",-0.0484485013754585,4.603758903420364,0.0778419770950042,0.7802434809534922,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,3.745819731893936e-05,2.4767403359672823e-05,3.776003372822702e-05,2.8243823905758567e-05,2.0213651943909202e-05,1.9700728950301208e-05,2.4883601638832817e-05,1.9712022759460783e-05,1.494032218781545e-05
"DG(36:4),DG(O-37:4)_C16:1",0.0153292822047214,4.650524714114663,0.0077977499491623,0.9296343689032456,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,3.969507485853183e-05,2.3526586325729655e-05,4.2592789116866816e-05,3.1082703012881116e-05,1.78932417301287e-05,2.2068840668426307e-05,2.5841797465529585e-05,2.0147011381940023e-05,1.5477938669168043e-05
"DG(36:4),DG(O-37:4)_C18:0",-0.2286445398738171,4.716827513784484,1.7343890032429874,0.1878513504429458,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,3.7911193940038505e-05,2.4894256930742604e-05,4.046250566748475e-05,2.7683792414602186e-05,1.6837765930633596e-05,2.0863549650662848e-05,2.8479384831263244e-05,3.138876038513487e-05,1.5729464938853396e-05
"DG(36:4),DG(O-37:4)_C18:2",0.0073174949946201,5.118546625905588,0.0017858453741723,0.9662920190611226,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.8766994884000805e-05,2.9155586801927458e-05,6.721245199996013e-05,4.6712060028614874e-05,2.3340508051059115e-05,3.1205841815142466e-05,3.469539358989238e-05,3.056354355444982e-05,2.033677281267938e-05
DG(36:5)_C16:1,-0.060906684895822,4.710657670475037,0.1231891508795519,0.7256010117320112,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.115532800796989e-05,2.5249596807794456e-05,4.167435670057656e-05,3.083212904093893e-05,1.8576599336008986e-05,2.4068347427454682e-05,3.0089329960604317e-05,2.033948065495565e-05,1.5563944359802793e-05
DG(36:5)_C18:1,0.0247887113796567,4.844346137238951,0.0204400360387353,0.8863149372874709,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.6954594993190464e-05,3.224052481793488e-05,4.6974540153730874e-05,3.082636895267367e-05,1.9021961350715803e-05,2.910367990460048e-05,3.1014180178078754e-05,2.0728895098831615e-05,1.6146349044750145e-05
DG(36:5)_C18:2,-0.0123761935600555,4.867459070796385,0.0050956907535208,0.9430920579969286,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.3922493243528714e-05,2.7700766641355554e-05,5.092570719519532e-05,3.538278432776103e-05,2.0962643967719085e-05,2.4417875244699552e-05,3.2694122681777784e-05,2.3500980804829317e-05,1.761785744721076e-05
DG(36:6)_C16:1,0.0220355412061716,4.670550877110296,0.0161172783554013,0.8989769304888855,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.080318071475837e-05,2.3311833856447498e-05,4.502492499521371e-05,3.0971336972680633e-05,2.0433383915192354e-05,2.138999872194325e-05,2.583656140897375e-05,1.9093720430589786e-05,1.5462198143380242e-05
DG(36:6)_C18:0,-0.0604409031199827,4.62169765846411,0.1211924004071054,0.7277448163325235,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,3.7458610567684735e-05,2.385695460771628e-05,3.9484591130448976e-05,3.022377520198596e-05,1.920421538307975e-05,2.2090870915605276e-05,2.667515485494593e-05,1.935190588818329e-05,1.3971865829501993e-05
DG(36:6)_C18:1,-0.1368974894796723,4.843590497251348,0.6230591312340685,0.4299127602172976,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.1575259053376705e-05,2.775020944415256e-05,4.472573535843585e-05,3.309881618572064e-05,2.4036611919779365e-05,2.3717911308964448e-05,3.3553109862377566e-05,2.2456235310289242e-05,1.7508159550047493e-05
DG(36:6)_C18:2,0.0888995849178129,4.859733668459104,0.2628529467702211,0.6081668822340366,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.4876017974865095e-05,2.806035133282937e-05,4.854950222955901e-05,3.9876476585041494e-05,2.064683833297656e-05,2.460706055819616e-05,2.9612574330388112e-05,2.2117277825026177e-05,1.775676483647603e-05
"DG(36:7),DG(35:0)_C18:0",-0.045033095425933,6.8009319936908765,0.0682485926945446,0.793904105037993,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,0.00015490213473394815,0.0001576569696537877,0.0001359488165818215,0.00013400495512631773,7.404899595141549e-05,0.00010501385130229831,0.0001340955919446593,9.528915423458814e-05,4.824739982969822e-05
"DG(36:8),DG(35:1)_C16:0",0.0428088555793144,4.66256871312231,0.060813828066685,0.8052142452562047,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,3.829929978666262e-05,2.6903686721975068e-05,4.042077916357639e-05,3.09521354576916e-05,1.7459674771116095e-05,2.1825829495904424e-05,2.522697593598132e-05,2.0763482527635227e-05,1.6290611255312955e-05
"DG(36:8),DG(35:1)_C18:0",0.0155212632277151,4.534166112431041,0.0079827546253881,0.9288067288853368,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,3.528042396770792e-05,2.3880926856976238e-05,3.8895089749979265e-05,2.755418505723927e-05,1.713416674365725e-05,2.0525377938181297e-05,2.4083314008367187e-05,1.778346497858976e-05,1.3938437311314977e-05
"DG(36:8),DG(35:1)_C18:1",-0.2012393770977454,5.0187189947093405,1.3480346695110796,0.245621992573849,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.124047159734138e-05,3.468020822358299e-05,4.275037392049873e-05,3.85013590331348e-05,2.7421819719539816e-05,2.5280451960793394e-05,2.993555568135301e-05,3.3742744688951403e-05,2.1015081809438585e-05
"DG(36:8),DG(35:1)_C18:2",0.0413041539504916,4.918509837830796,0.0567869702702044,0.8116482907284744,1.0,4,4,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_male,SampleType_Neuron|SleepCondition_Goingtosleep|Sex_Female,DAG,4.542159784526551e-05,2.9203781303599215e-05,5.573893030463701e-05,3.697039333519028e-05,2.1596728252409912e-05,2.658703567820241e-05,2.9432895513503377e-05,2.503808984741814e-05,1.7949060326752596e-05
