"type","sum_mean1","sum_mean2"
"CAR",65088.303498636,73277.341921334
"CE",82700.6820923033,64432.283693468
"Cer",9362.11125971022,9275.00193190348
"DAG",328151.600496905,563907.453699135
"PC",523998.721882075,468312.495880713
"PE",118268.688601639,65572.2596832548
"PG",5227.87896090916,5730.93281252725
"PI",7173.2199763298,6819.85891103291
"PS",143726.992529115,158946.997921739
"SM",37538.6673680941,32579.8235561098
"TAG",139837.642644919,149167.403165413
