"type","sum_mean1","sum_mean2"
"CAR",55269.4438861211,55269.4438861211
"CE",200318.427762032,200318.427762032
"Cer",18618.1883945465,18618.1883945465
"DAG",317030.806581497,317030.806581497
"PC",149591.455617587,149591.455617587
"PE",18718.888001442,18718.888001442
"PG",6584.49898052216,6584.49898052216
"PI",8040.76386038462,8040.76386038462
"PS",143929.241401672,143929.241401672
"SM",51341.9388071696,51341.9388071696
"TAG",95041.5709438324,95041.5709438324
