"type","sum_mean1","sum_mean2"
"CAR",61285.6074497768,36564.4987078848
"CE",114182.827288964,125346.924527332
"Cer",19170.4351411683,17599.4422982216
"DAG",466845.82364274,313437.384123185
"PC",1324594.83132499,1461443.47175748
"PE",804497.926399862,1015094.60728779
"PG",9349.0372429984,9075.53365004403
"PI",8521.86061597098,6374.17613352821
"PS",117725.816709727,116293.437621062
"SM",144779.068764028,132989.155135759
"TAG",658501.208811047,896769.130396739
