"type","sum_mean1","sum_mean2"
"CAR",73677.931690534,47559.4518260956
"CE",93818.5990864436,7860.88940620422
"Cer",13607.6196740468,3453.75400257111
"DAG",336989.790015856,610858.473930677
"PC",118012.296879133,701448.804357529
"PE",19681.8810977936,101456.615231514
"PG",6128.00534979502,3313.13536516825
"PI",6778.02690315247,6190.59357802073
"PS",189901.023625374,126689.479528427
"SM",44394.7248741786,3905.89866828918
"TAG",114256.427001953,134739.94413662
