"type","sum_mean1","sum_mean2"
"CAR",47106.9043316114,43321.7912862006
"CE",112425.422010667,181829.173575783
"Cer",14291.8280133838,12430.0893630754
"DAG",818268.957722287,308650.810662033
"PC",524499.359637142,475204.372547667
"PE",82152.238098081,74928.2529423123
"PG",5811.4921972956,5890.94928236916
"PI",6082.05016382763,5579.04492747443
"PS",124342.10753306,120913.053629893
"SM",37207.7675728889,41408.8298244431
"TAG",130780.523299149,111697.316293853
