"type","sum_mean1","sum_mean2"
"CAR",43314.7679230372,15292.1009778976
"CE",12388.040962855,3125.14214324951
"Cer",4020.25882975261,3457.2372194926
"DAG",819713.237628619,190093.101288478
"PC",939657.089017232,719178.091858228
"PE",95957.7783257167,112304.206288656
"PG",3394.6098578771,4752.50986893972
"PI",5082.24656804403,4215.43165747325
"PS",94605.4122807185,96339.9857702255
"SM",9974.97069613139,2240.41852442424
"TAG",101286.330549558,86610.4337968826
