"type","sum_mean1","sum_mean2"
"CAR",114260.088165919,15264.1926377614
"CE",140296.02499644,28480.9154411952
"Cer",32409.8513139089,3441.74212837219
"DAG",510866.029300372,371026.062374433
"PC",651695.008095423,1975832.04139264
"PE",449195.252997398,1154118.4541235
"PG",8143.58720874787,9395.31219259898
"PI",6567.67360432943,9537.99729188284
"PS",148636.81782945,84973.7696615855
"SM",222654.21197923,21393.3917614619
"TAG",326811.47299099,918541.141285578
