"type","sum_mean1","sum_mean2"
"CAR",72916.1433502833,34083.7823734283
"CE",124107.759765307,7222.38270060221
"Cer",14714.3913005193,3066.79062843323
"DAG",339108.749040286,264343.433044434
"PC",155506.979129473,797097.279306412
"PE",20326.6746349335,167306.509405136
"PG",5080.30865414937,4090.16179529826
"PI",7137.16514110565,6421.04180781047
"PS",150771.432484945,134718.448439916
"SM",55938.460720698,7510.32237943013
"TAG",105893.148674329,130522.370735804
