"type","sum_mean1","sum_mean2"
"CAR",72916.1433502833,70111.8383423487
"CE",124107.759765307,107144.731112162
"Cer",14714.3913005193,12729.6277888616
"DAG",339108.749040286,277103.372974714
"PC",156359.829183261,142910.271083196
"PE",20326.6746349335,20735.1063241959
"PG",5080.30865414937,6448.00863265991
"PI",7137.16514110565,6110.61024347941
"PS",150771.432484945,151506.718793551
"SM",55938.460720698,48137.8700949351
"TAG",105893.148674329,87992.1643365224
