"type","sum_mean1","sum_mean2"
"CAR",47106.9043316114,69691.5624012856
"CE",112425.422010667,126224.36322313
"Cer",14291.8280133838,9938.03128103529
"DAG",818268.957722287,813561.329291298
"PC",524499.359637142,632172.493124503
"PE",82152.238098081,66779.3659523782
"PG",5811.4921972956,5437.94105531602
"PI",6082.05016382763,5179.5009710766
"PS",124342.10753306,109258.71352258
"SM",37207.7675728889,35792.8812668755
"TAG",130780.523299149,135218.867183953
